,pmi,w1,w2,year
0,0.0,internationale,recht,1815
0,0.0,internationale,conferentie,1815
0,0.0,internationale,collectieve,1815
0,0.0,internationale,vrede,1815
0,0.0,internationale,rust,1815
0,0.0,internationale,toestand,1815
0,0.0,internationale,onrust,1815
0,0.0,internationale,staten,1815
0,0.0,internationale,natie,1815
0,0.0,internationale,congres,1815
0,0.0,internationale,arbitrage,1815
0,0.0,internationale,diplomatieke,1815
0,0.0,internationale,buitenland,1815
0,0.0,internationale,buitenlandsche,1815
0,0.0,internationale,binnenland,1815
0,0.0,internationale,nationale,1815
0,0.0,internationaal,recht,1815
0,0.0,internationaal,conferentie,1815
0,0.0,internationaal,collectieve,1815
0,0.0,internationaal,vrede,1815
0,0.0,internationaal,rust,1815
0,0.0,internationaal,toestand,1815
0,0.0,internationaal,onrust,1815
0,0.0,internationaal,staten,1815
0,0.0,internationaal,natie,1815
0,0.0,internationaal,congres,1815
0,0.0,internationaal,arbitrage,1815
0,0.0,internationaal,diplomatieke,1815
0,0.0,internationaal,buitenland,1815
0,0.0,internationaal,buitenlandsche,1815
0,0.0,internationaal,binnenland,1815
0,0.0,internationaal,nationale,1815
0,0.0,internationale,recht,1816
0,0.0,internationale,conferentie,1816
0,0.0,internationale,collectieve,1816
0,0.0,internationale,vrede,1816
0,0.0,internationale,rust,1816
0,0.0,internationale,toestand,1816
0,0.0,internationale,onrust,1816
0,0.0,internationale,staten,1816
0,0.0,internationale,natie,1816
0,0.0,internationale,congres,1816
0,0.0,internationale,arbitrage,1816
0,0.0,internationale,diplomatieke,1816
0,0.0,internationale,buitenland,1816
0,0.0,internationale,buitenlandsche,1816
0,0.0,internationale,binnenland,1816
0,0.0,internationale,nationale,1816
0,0.0,internationaal,recht,1816
0,0.0,internationaal,conferentie,1816
0,0.0,internationaal,collectieve,1816
0,0.0,internationaal,vrede,1816
0,0.0,internationaal,rust,1816
0,0.0,internationaal,toestand,1816
0,0.0,internationaal,onrust,1816
0,0.0,internationaal,staten,1816
0,0.0,internationaal,natie,1816
0,0.0,internationaal,congres,1816
0,0.0,internationaal,arbitrage,1816
0,0.0,internationaal,diplomatieke,1816
0,0.0,internationaal,buitenland,1816
0,0.0,internationaal,buitenlandsche,1816
0,0.0,internationaal,binnenland,1816
0,0.0,internationaal,nationale,1816
0,0.0,internationale,recht,1817
0,0.0,internationale,conferentie,1817
0,0.0,internationale,collectieve,1817
0,0.0,internationale,vrede,1817
0,0.0,internationale,rust,1817
0,0.0,internationale,toestand,1817
0,0.0,internationale,onrust,1817
0,0.0,internationale,staten,1817
0,0.0,internationale,natie,1817
0,0.0,internationale,congres,1817
0,0.0,internationale,arbitrage,1817
0,0.0,internationale,diplomatieke,1817
0,0.0,internationale,buitenland,1817
0,0.0,internationale,buitenlandsche,1817
0,0.0,internationale,binnenland,1817
0,0.0,internationale,nationale,1817
0,0.0,internationaal,recht,1817
0,0.0,internationaal,conferentie,1817
0,0.0,internationaal,collectieve,1817
0,0.0,internationaal,vrede,1817
0,0.0,internationaal,rust,1817
0,0.0,internationaal,toestand,1817
0,0.0,internationaal,onrust,1817
0,0.0,internationaal,staten,1817
0,0.0,internationaal,natie,1817
0,0.0,internationaal,congres,1817
0,0.0,internationaal,arbitrage,1817
0,0.0,internationaal,diplomatieke,1817
0,0.0,internationaal,buitenland,1817
0,0.0,internationaal,buitenlandsche,1817
0,0.0,internationaal,binnenland,1817
0,0.0,internationaal,nationale,1817
0,3.438940851034219,internationale,recht,1818
0,0.0,internationale,conferentie,1818
0,0.0,internationale,collectieve,1818
0,3.4002585486034227,internationale,vrede,1818
0,2.93500916495092,internationale,rust,1818
0,0.0,internationale,toestand,1818
0,0.0,internationale,onrust,1818
0,0.0,internationale,staten,1818
0,0.0,internationale,natie,1818
0,4.039789553359678,internationale,congres,1818
0,0.0,internationale,arbitrage,1818
0,0.0,internationale,diplomatieke,1818
0,0.0,internationale,buitenland,1818
0,0.0,internationale,buitenlandsche,1818
0,0.0,internationale,binnenland,1818
0,3.5505407516527607,internationale,nationale,1818
0,0.0,internationaal,recht,1818
0,0.0,internationaal,conferentie,1818
0,0.0,internationaal,collectieve,1818
0,0.0,internationaal,vrede,1818
0,0.0,internationaal,rust,1818
0,0.0,internationaal,toestand,1818
0,0.0,internationaal,onrust,1818
0,0.0,internationaal,staten,1818
0,0.0,internationaal,natie,1818
0,0.0,internationaal,congres,1818
0,0.0,internationaal,arbitrage,1818
0,0.0,internationaal,diplomatieke,1818
0,0.0,internationaal,buitenland,1818
0,0.0,internationaal,buitenlandsche,1818
0,0.0,internationaal,binnenland,1818
0,0.0,internationaal,nationale,1818
0,0.0,internationale,recht,1819
0,0.0,internationale,conferentie,1819
0,0.0,internationale,collectieve,1819
0,0.0,internationale,vrede,1819
0,0.0,internationale,rust,1819
0,0.0,internationale,toestand,1819
0,0.0,internationale,onrust,1819
0,0.0,internationale,staten,1819
0,0.0,internationale,natie,1819
0,0.0,internationale,congres,1819
0,0.0,internationale,arbitrage,1819
0,0.0,internationale,diplomatieke,1819
0,0.0,internationale,buitenland,1819
0,0.0,internationale,buitenlandsche,1819
0,0.0,internationale,binnenland,1819
0,0.0,internationale,nationale,1819
0,0.0,internationaal,recht,1819
0,0.0,internationaal,conferentie,1819
0,0.0,internationaal,collectieve,1819
0,0.0,internationaal,vrede,1819
0,0.0,internationaal,rust,1819
0,0.0,internationaal,toestand,1819
0,0.0,internationaal,onrust,1819
0,0.0,internationaal,staten,1819
0,0.0,internationaal,natie,1819
0,0.0,internationaal,congres,1819
0,0.0,internationaal,arbitrage,1819
0,0.0,internationaal,diplomatieke,1819
0,0.0,internationaal,buitenland,1819
0,0.0,internationaal,buitenlandsche,1819
0,0.0,internationaal,binnenland,1819
0,0.0,internationaal,nationale,1819
0,0.0,internationale,recht,1820
0,0.0,internationale,conferentie,1820
0,0.0,internationale,collectieve,1820
0,0.0,internationale,vrede,1820
0,0.0,internationale,rust,1820
0,0.0,internationale,toestand,1820
0,0.0,internationale,onrust,1820
0,0.0,internationale,staten,1820
0,0.0,internationale,natie,1820
0,0.0,internationale,congres,1820
0,0.0,internationale,arbitrage,1820
0,0.0,internationale,diplomatieke,1820
0,0.0,internationale,buitenland,1820
0,0.0,internationale,buitenlandsche,1820
0,0.0,internationale,binnenland,1820
0,0.0,internationale,nationale,1820
0,0.0,internationaal,recht,1820
0,0.0,internationaal,conferentie,1820
0,0.0,internationaal,collectieve,1820
0,0.0,internationaal,vrede,1820
0,0.0,internationaal,rust,1820
0,0.0,internationaal,toestand,1820
0,0.0,internationaal,onrust,1820
0,0.0,internationaal,staten,1820
0,0.0,internationaal,natie,1820
0,0.0,internationaal,congres,1820
0,0.0,internationaal,arbitrage,1820
0,0.0,internationaal,diplomatieke,1820
0,0.0,internationaal,buitenland,1820
0,0.0,internationaal,buitenlandsche,1820
0,0.0,internationaal,binnenland,1820
0,0.0,internationaal,nationale,1820
0,0.0,internationale,recht,1821
0,0.0,internationale,conferentie,1821
0,0.0,internationale,collectieve,1821
0,0.0,internationale,vrede,1821
0,0.0,internationale,rust,1821
0,0.0,internationale,toestand,1821
0,0.0,internationale,onrust,1821
0,0.0,internationale,staten,1821
0,0.0,internationale,natie,1821
0,0.0,internationale,congres,1821
0,0.0,internationale,arbitrage,1821
0,0.0,internationale,diplomatieke,1821
0,0.0,internationale,buitenland,1821
0,0.0,internationale,buitenlandsche,1821
0,0.0,internationale,binnenland,1821
0,0.0,internationale,nationale,1821
0,0.0,internationaal,recht,1821
0,0.0,internationaal,conferentie,1821
0,0.0,internationaal,collectieve,1821
0,0.0,internationaal,vrede,1821
0,0.0,internationaal,rust,1821
0,0.0,internationaal,toestand,1821
0,0.0,internationaal,onrust,1821
0,0.0,internationaal,staten,1821
0,0.0,internationaal,natie,1821
0,0.0,internationaal,congres,1821
0,0.0,internationaal,arbitrage,1821
0,0.0,internationaal,diplomatieke,1821
0,0.0,internationaal,buitenland,1821
0,0.0,internationaal,buitenlandsche,1821
0,0.0,internationaal,binnenland,1821
0,0.0,internationaal,nationale,1821
0,0.0,internationale,recht,1822
0,0.0,internationale,conferentie,1822
0,0.0,internationale,collectieve,1822
0,0.0,internationale,vrede,1822
0,0.0,internationale,rust,1822
0,0.0,internationale,toestand,1822
0,0.0,internationale,onrust,1822
0,0.0,internationale,staten,1822
0,0.0,internationale,natie,1822
0,0.0,internationale,congres,1822
0,0.0,internationale,arbitrage,1822
0,0.0,internationale,diplomatieke,1822
0,0.0,internationale,buitenland,1822
0,0.0,internationale,buitenlandsche,1822
0,0.0,internationale,binnenland,1822
0,0.0,internationale,nationale,1822
0,0.0,internationaal,recht,1822
0,0.0,internationaal,conferentie,1822
0,0.0,internationaal,collectieve,1822
0,0.0,internationaal,vrede,1822
0,0.0,internationaal,rust,1822
0,0.0,internationaal,toestand,1822
0,0.0,internationaal,onrust,1822
0,0.0,internationaal,staten,1822
0,0.0,internationaal,natie,1822
0,0.0,internationaal,congres,1822
0,0.0,internationaal,arbitrage,1822
0,0.0,internationaal,diplomatieke,1822
0,0.0,internationaal,buitenland,1822
0,0.0,internationaal,buitenlandsche,1822
0,0.0,internationaal,binnenland,1822
0,0.0,internationaal,nationale,1822
0,0.0,internationale,recht,1823
0,0.0,internationale,conferentie,1823
0,0.0,internationale,collectieve,1823
0,0.0,internationale,vrede,1823
0,0.0,internationale,rust,1823
0,0.0,internationale,toestand,1823
0,0.0,internationale,onrust,1823
0,0.0,internationale,staten,1823
0,0.0,internationale,natie,1823
0,0.0,internationale,congres,1823
0,0.0,internationale,arbitrage,1823
0,0.0,internationale,diplomatieke,1823
0,0.0,internationale,buitenland,1823
0,0.0,internationale,buitenlandsche,1823
0,0.0,internationale,binnenland,1823
0,0.0,internationale,nationale,1823
0,0.0,internationaal,recht,1823
0,0.0,internationaal,conferentie,1823
0,0.0,internationaal,collectieve,1823
0,0.0,internationaal,vrede,1823
0,0.0,internationaal,rust,1823
0,0.0,internationaal,toestand,1823
0,0.0,internationaal,onrust,1823
0,0.0,internationaal,staten,1823
0,0.0,internationaal,natie,1823
0,0.0,internationaal,congres,1823
0,0.0,internationaal,arbitrage,1823
0,0.0,internationaal,diplomatieke,1823
0,0.0,internationaal,buitenland,1823
0,0.0,internationaal,buitenlandsche,1823
0,0.0,internationaal,binnenland,1823
0,0.0,internationaal,nationale,1823
0,0.0,internationale,recht,1824
0,0.0,internationale,conferentie,1824
0,0.0,internationale,collectieve,1824
0,0.0,internationale,vrede,1824
0,0.0,internationale,rust,1824
0,0.0,internationale,toestand,1824
0,0.0,internationale,onrust,1824
0,0.0,internationale,staten,1824
0,0.0,internationale,natie,1824
0,0.0,internationale,congres,1824
0,0.0,internationale,arbitrage,1824
0,0.0,internationale,diplomatieke,1824
0,0.0,internationale,buitenland,1824
0,0.0,internationale,buitenlandsche,1824
0,0.0,internationale,binnenland,1824
0,0.0,internationale,nationale,1824
0,0.0,internationaal,recht,1824
0,0.0,internationaal,conferentie,1824
0,0.0,internationaal,collectieve,1824
0,0.0,internationaal,vrede,1824
0,0.0,internationaal,rust,1824
0,0.0,internationaal,toestand,1824
0,0.0,internationaal,onrust,1824
0,0.0,internationaal,staten,1824
0,0.0,internationaal,natie,1824
0,0.0,internationaal,congres,1824
0,0.0,internationaal,arbitrage,1824
0,0.0,internationaal,diplomatieke,1824
0,0.0,internationaal,buitenland,1824
0,0.0,internationaal,buitenlandsche,1824
0,0.0,internationaal,binnenland,1824
0,0.0,internationaal,nationale,1824
0,0.0,internationale,recht,1825
0,0.0,internationale,conferentie,1825
0,0.0,internationale,collectieve,1825
0,0.0,internationale,vrede,1825
0,0.0,internationale,rust,1825
0,0.0,internationale,toestand,1825
0,0.0,internationale,onrust,1825
0,0.0,internationale,staten,1825
0,0.0,internationale,natie,1825
0,0.0,internationale,congres,1825
0,0.0,internationale,arbitrage,1825
0,0.0,internationale,diplomatieke,1825
0,0.0,internationale,buitenland,1825
0,0.0,internationale,buitenlandsche,1825
0,0.0,internationale,binnenland,1825
0,0.0,internationale,nationale,1825
0,0.0,internationaal,recht,1825
0,0.0,internationaal,conferentie,1825
0,0.0,internationaal,collectieve,1825
0,0.0,internationaal,vrede,1825
0,0.0,internationaal,rust,1825
0,0.0,internationaal,toestand,1825
0,0.0,internationaal,onrust,1825
0,0.0,internationaal,staten,1825
0,0.0,internationaal,natie,1825
0,0.0,internationaal,congres,1825
0,0.0,internationaal,arbitrage,1825
0,0.0,internationaal,diplomatieke,1825
0,0.0,internationaal,buitenland,1825
0,0.0,internationaal,buitenlandsche,1825
0,0.0,internationaal,binnenland,1825
0,0.0,internationaal,nationale,1825
0,0.0,internationale,recht,1826
0,0.0,internationale,conferentie,1826
0,0.0,internationale,collectieve,1826
0,0.0,internationale,vrede,1826
0,0.0,internationale,rust,1826
0,0.0,internationale,toestand,1826
0,0.0,internationale,onrust,1826
0,0.0,internationale,staten,1826
0,0.0,internationale,natie,1826
0,0.0,internationale,congres,1826
0,0.0,internationale,arbitrage,1826
0,0.0,internationale,diplomatieke,1826
0,0.0,internationale,buitenland,1826
0,0.0,internationale,buitenlandsche,1826
0,0.0,internationale,binnenland,1826
0,0.0,internationale,nationale,1826
0,0.0,internationaal,recht,1826
0,0.0,internationaal,conferentie,1826
0,0.0,internationaal,collectieve,1826
