,pmi,w1,w2,year
0,1.5834189279121265,binnenland,bestuur,1815
0,1.5103937928972364,binnenland,politiek,1815
0,1.1911640515407684,binnenland,handel,1815
0,1.5252755349233489,binnenland,bezittingen,1815
0,0.29243474659656077,binnenland,kolonie,1815
0,1.1435861762997543,binnenland,staatkunde,1815
0,0.0,binnenland,inmenging,1815
0,1.148100856654281,binnenland,hervorming,1815
0,1.4378710484699238,binnenland,uitgave,1815
0,1.4862033807482549,binnenland,buitenland,1815
0,1.485951891818158,binnenland,buitenlandsche,1815
0,1.3491933150918956,binnenland,vreemd,1815
0,1.3440554327311531,binnenland,vreemde,1815
0,1.4762225742586181,binnenland,natie,1815
0,1.4728770535123026,binnenland,nationaal,1815
0,1.4582322275546162,binnenland,nationale,1815
0,1.120099027105788,binnenland,wereld,1815
0,1.0815737388507487,binnenland,ons,1815
0,1.6056798969109716,binnenlandsche,bestuur,1815
0,1.3875933080560214,binnenlandsche,politiek,1815
0,1.1762902027175621,binnenlandsche,handel,1815
0,1.5334357472035558,binnenlandsche,bezittingen,1815
0,0.11556704048506997,binnenlandsche,kolonie,1815
0,0.9920362781725536,binnenlandsche,staatkunde,1815
0,0.0,binnenlandsche,inmenging,1815
0,1.2589152229945713,binnenlandsche,hervorming,1815
0,1.5052003028704752,binnenlandsche,uitgave,1815
0,1.5001679210986276,binnenlandsche,buitenland,1815
0,1.4823559069807042,binnenlandsche,buitenlandsche,1815
0,1.2712136101326137,binnenlandsche,vreemd,1815
0,1.2611629200523635,binnenlandsche,vreemde,1815
0,1.4381913130013435,binnenlandsche,natie,1815
0,1.372382326185386,binnenlandsche,nationaal,1815
0,1.4067867653183896,binnenlandsche,nationale,1815
0,1.0622906810102852,binnenlandsche,wereld,1815
0,1.073222899307704,binnenlandsche,ons,1815
0,2.1120511703275815,inlandsch,bestuur,1815
0,0.0,inlandsch,politiek,1815
0,2.1852903326959843,inlandsch,handel,1815
0,1.1651101860448478,inlandsch,bezittingen,1815
0,0.0,inlandsch,kolonie,1815
0,1.9320435366640245,inlandsch,staatkunde,1815
0,0.0,inlandsch,inmenging,1815
0,0.0,inlandsch,hervorming,1815
0,1.6342773451456174,inlandsch,uitgave,1815
0,2.5370250055800163,inlandsch,buitenland,1815
0,2.4324135013256765,inlandsch,buitenlandsche,1815
0,2.249442081444282,inlandsch,vreemd,1815
0,2.4011466705765097,inlandsch,vreemde,1815
0,1.6726288709343118,inlandsch,natie,1815
0,1.7817613336146865,inlandsch,nationaal,1815
0,0.7729832890189111,inlandsch,nationale,1815
0,1.799357095505066,inlandsch,wereld,1815
0,1.0282428946387852,inlandsch,ons,1815
0,2.181044041814533,inlandsche,bestuur,1815
0,0.0,inlandsche,politiek,1815
0,2.21172358976414,inlandsche,handel,1815
0,1.2341030575317993,inlandsche,bezittingen,1815
0,0.0,inlandsche,kolonie,1815
0,2.0010364081509757,inlandsche,staatkunde,1815
0,0.0,inlandsche,inmenging,1815
0,0.0,inlandsche,hervorming,1815
0,1.7032702166325688,inlandsche,uitgave,1815
0,2.525975169393431,inlandsche,buitenland,1815
0,2.501406372812628,inlandsche,buitenlandsche,1815
0,2.318434952931234,inlandsche,vreemd,1815
0,2.4701395420634613,inlandsche,vreemde,1815
0,1.6080903497967407,inlandsche,natie,1815
0,1.850754205101638,inlandsche,nationaal,1815
0,0.8419761605058627,inlandsche,nationale,1815
0,1.8683499669920174,inlandsche,wereld,1815
0,1.0972357661257366,inlandsche,ons,1815
0,1.6004850800338675,binnenlandsch,bestuur,1815
0,1.3823984911789176,binnenlandsch,politiek,1815
0,1.1843993514668207,binnenlandsch,handel,1815
0,1.5282409303264517,binnenlandsch,bezittingen,1815
0,0.3980542960597468,binnenlandsch,kolonie,1815
0,0.9868414612954494,binnenlandsch,staatkunde,1815
0,0.0,binnenlandsch,inmenging,1815
0,1.253720406117467,binnenlandsch,hervorming,1815
0,1.5000054859933714,binnenlandsch,uitgave,1815
0,1.503411972867388,binnenlandsch,buitenland,1815
0,1.4872114259571012,binnenlandsch,buitenlandsche,1815
0,1.2660187932555096,binnenlandsch,vreemd,1815
0,1.2559681031752594,binnenlandsch,vreemde,1815
0,1.4391503616986177,binnenlandsch,natie,1815
0,1.367187509308282,binnenlandsch,nationaal,1815
0,1.417016418766917,binnenlandsch,nationale,1815
0,1.057095864133181,binnenlandsch,wereld,1815
0,1.0721688750966314,binnenlandsch,ons,1815
0,1.6960742943804927,vaderland,bestuur,1815
0,1.6201311532098885,vaderland,politiek,1815
0,1.307666422094101,vaderland,handel,1815
0,1.469868447176533,vaderland,bezittingen,1815
0,1.077927544757289,vaderland,kolonie,1815
0,1.6978052970630224,vaderland,staatkunde,1815
0,0.0,vaderland,inmenging,1815
0,1.8795264335447335,vaderland,hervorming,1815
0,1.5064195091031873,vaderland,uitgave,1815
0,1.0663729354851759,vaderland,buitenland,1815
0,1.0536258778695393,vaderland,buitenlandsche,1815
0,1.6367929160017374,vaderland,vreemd,1815
0,1.6028183626451642,vaderland,vreemde,1815
0,1.7151716660512766,vaderland,natie,1815
0,2.0865195947463717,vaderland,nationaal,1815
0,1.5577397101213275,vaderland,nationale,1815
0,1.8515246039962403,vaderland,wereld,1815
0,1.2351082785933063,vaderland,ons,1815
0,2.1459527220032633,vaderlandsche,bestuur,1815
0,0.33335387093088853,vaderlandsche,politiek,1815
0,1.3269160287013848,vaderlandsche,handel,1815
0,1.6044768458286938,vaderlandsche,bezittingen,1815
0,1.887983546869994,vaderlandsche,kolonie,1815
0,2.1200957681669643,vaderlandsche,staatkunde,1815
0,0.0,vaderlandsche,inmenging,1815
0,1.3573552958078234,vaderlandsche,hervorming,1815
0,1.9241122709584992,vaderlandsche,uitgave,1815
0,1.0175781114726405,vaderlandsche,buitenland,1815
0,1.046119140205786,vaderlandsche,buitenlandsche,1815
0,1.5367077676090324,vaderlandsche,vreemd,1815
0,1.4816179434285794,vaderlandsche,vreemde,1815
0,1.706530422609993,vaderlandsche,natie,1815
0,1.969813565117626,vaderlandsche,nationaal,1815
0,1.378335086277018,vaderlandsche,nationale,1815
0,1.9510416828371306,vaderlandsche,wereld,1815
0,1.2083269564925478,vaderlandsche,ons,1815
0,2.1245318315511907,vaderlandsch,bestuur,1815
0,0.28840248306862204,vaderlandsch,politiek,1815
0,1.3315615819784903,vaderlandsch,handel,1815
0,1.613592679236703,vaderlandsch,bezittingen,1815
0,1.8430321590077277,vaderlandsch,kolonie,1815
0,2.075144380304698,vaderlandsch,staatkunde,1815
0,0.0,vaderlandsch,inmenging,1815
0,1.3124039079455572,vaderlandsch,hervorming,1815
0,1.9416812400775671,vaderlandsch,uitgave,1815
0,1.0870370747881186,vaderlandsch,buitenland,1815
0,1.099607825156772,vaderlandsch,buitenlandsche,1815
0,1.5556078517332985,vaderlandsch,vreemd,1815
0,1.5020493148291647,vaderlandsch,vreemde,1815
0,1.7222036565641616,vaderlandsch,natie,1815
0,1.9938550487423115,vaderlandsch,nationaal,1815
0,1.379368811656575,vaderlandsch,nationale,1815
0,1.9601575162451401,vaderlandsch,wereld,1815
0,1.2025962817835627,vaderlandsch,ons,1815
0,1.459062796033786,binnenland,bestuur,1816
0,1.4520709628625712,binnenland,politiek,1816
0,1.3077855984992035,binnenland,handel,1816
0,0.9005320883527933,binnenland,bezittingen,1816
0,0.639200881828416,binnenland,kolonie,1816
0,1.8614271264637021,binnenland,staatkunde,1816
0,0.0,binnenland,inmenging,1816
0,1.8101338320761517,binnenland,hervorming,1816
0,1.7121534237159481,binnenland,uitgave,1816
0,1.6303063248688483,binnenland,buitenland,1816
0,1.5948643371928481,binnenland,buitenlandsche,1816
0,1.2603622581755065,binnenland,vreemd,1816
0,1.2844835732963593,binnenland,vreemde,1816
0,1.4337861225387145,binnenland,natie,1816
0,2.049613802710055,binnenland,nationaal,1816
0,1.332546849785895,binnenland,nationale,1816
0,1.0725348889453725,binnenland,wereld,1816
0,0.988469187340259,binnenland,ons,1816
0,1.5334610860876454,binnenlandsche,bestuur,1816
0,1.4693108390764817,binnenlandsche,politiek,1816
0,1.219664959055288,binnenlandsche,handel,1816
0,0.8769499700464489,binnenlandsche,bezittingen,1816
0,0.32793669107029066,binnenlandsche,kolonie,1816
0,1.9178877158308942,binnenlandsche,staatkunde,1816
0,0.0,binnenlandsche,inmenging,1816
0,1.8555445852567587,binnenlandsche,hervorming,1816
0,1.673756219624463,binnenlandsche,uitgave,1816
0,1.6053645870464643,binnenlandsche,buitenland,1816
0,1.6543369770300316,binnenlandsche,buitenlandsche,1816
0,1.2509647748611183,binnenlandsche,vreemd,1816
0,1.2673739694956323,binnenlandsche,vreemde,1816
0,1.3696579098380202,binnenlandsche,natie,1816
0,1.9978608074370143,binnenlandsche,nationaal,1816
0,1.2862733202774796,binnenlandsche,nationale,1816
0,1.0336852985082396,binnenlandsche,wereld,1816
0,0.9498742766447295,binnenlandsche,ons,1816
0,2.1660271221468737,inlandsch,bestuur,1816
0,2.229710246645595,inlandsch,politiek,1816
0,1.8259136867971424,inlandsch,handel,1816
0,2.44827959383189,inlandsch,bezittingen,1816
0,1.0883360986394033,inlandsch,kolonie,1816
0,2.8213879670406805,inlandsch,staatkunde,1816
0,0.0,inlandsch,inmenging,1816
0,0.0,inlandsch,hervorming,1816
0,2.1612886405269354,inlandsch,uitgave,1816
0,2.405769329229276,inlandsch,buitenland,1816
0,2.336571611749808,inlandsch,buitenlandsche,1816
0,2.2972841398886126,inlandsch,vreemd,1816
0,2.3491553679623682,inlandsch,vreemde,1816
0,2.0304274764582915,inlandsch,natie,1816
0,2.89179160763065,inlandsch,nationaal,1816
0,1.3369962453354367,inlandsch,nationale,1816
0,2.2736577863392387,inlandsch,wereld,1816
0,1.2749556129559965,inlandsch,ons,1816
0,2.2104788847177073,inlandsche,bestuur,1816
0,2.3206820248513216,inlandsche,politiek,1816
0,1.787673733522863,inlandsche,handel,1816
0,2.4214683363812335,inlandsche,bezittingen,1816
0,1.1793078768451302,inlandsche,kolonie,1816
0,2.6892161939321975,inlandsche,staatkunde,1816
0,0.0,inlandsche,inmenging,1816
0,0.0,inlandsche,hervorming,1816
0,2.1270972757786564,inlandsche,uitgave,1816
0,2.371577964480997,inlandsche,buitenland,1816
0,2.297490261707337,inlandsche,buitenlandsche,1816
0,2.234105238267081,inlandsche,vreemd,1816
0,2.3289015110578704,inlandsche,vreemde,1816
0,2.062558754641085,inlandsche,natie,1816
0,2.8492319932118537,inlandsche,nationaal,1816
0,1.322607507883337,inlandsche,nationale,1816
0,2.2104788847177073,inlandsche,wereld,1816
0,1.2268145886990056,inlandsche,ons,1816
0,1.550371558235962,binnenlandsch,bestuur,1816
0,1.4216827900872273,binnenlandsch,politiek,1816
0,1.2510801174064863,binnenlandsch,handel,1816
0,0.9093646287307308,binnenlandsch,bezittingen,1816
0,0.5679907145328169,binnenlandsch,kolonie,1816
0,1.9443676389953615,binnenlandsch,staatkunde,1816
0,0.0,binnenlandsch,inmenging,1816
0,1.807916536267504,binnenlandsch,hervorming,1816
0,1.7118949923926334,binnenlandsch,uitgave,1816
0,1.6549002865108575,binnenlandsch,buitenland,1816
0,1.6580022224283275,binnenlandsch,buitenlandsche,1816
0,1.2514559742160623,binnenlandsch,vreemd,1816
0,1.2746616781024924,binnenlandsch,vreemde,1816
0,1.396753407044702,binnenlandsch,natie,1816
0,1.9502327584477597,binnenlandsch,nationaal,1816
0,1.302158677010551,binnenlandsch,nationale,1816
0,1.0237975775018322,binnenlandsch,wereld,1816
0,0.9699310544824109,binnenlandsch,ons,1816
0,1.8728911990126287,vaderland,bestuur,1816
0,1.8242451385374303,vaderland,politiek,1816
0,1.4256796281065305,vaderland,handel,1816
0,1.6626671855998516,vaderland,bezittingen,1816
0,1.7750523888690584,vaderland,kolonie,1816
0,2.2933205368401834,vaderland,staatkunde,1816
0,0.0,vaderland,inmenging,1816
0,1.6604325477984352,vaderland,hervorming,1816
0,1.704768361618487,vaderland,uitgave,1816
0,1.3101690910311583,vaderland,buitenland,1816
0,1.2693561771423707,vaderland,buitenlandsche,1816
0,1.6373599468200706,vaderland,vreemd,1816
0,1.6943980769540654,vaderland,vreemde,1816
0,1.8191183827910848,vaderland,natie,1816
0,2.3958124919816535,vaderland,nationaal,1816
0,1.387006665910098,vaderland,nationale,1816
0,1.9499245754954557,vaderland,wereld,1816
0,1.2689435707993688,vaderland,ons,1816
0,2.2325386027824394,vaderlandsche,bestuur,1816
0,1.3799309954070058,vaderlandsche,politiek,1816
0,1.3714471722026997,vaderlandsche,handel,1816
0,1.3471859143123954,vaderlandsche,bezittingen,1816
0,1.4913198158961825,vaderlandsche,kolonie,1816
0,2.153930272596046,vaderlandsche,staatkunde,1816
0,0.0,vaderlandsche,inmenging,1816
0,0.0,vaderlandsche,hervorming,1816
0,1.7363925832536125,vaderlandsche,uitgave,1816
0,1.2617506049927476,vaderlandsche,buitenland,1816
0,1.2389561966066378,vaderlandsche,buitenlandsche,1816
0,1.3474214300930412,vaderlandsche,vreemd,1816
0,1.4075685674706564,vaderlandsche,vreemde,1816
0,1.4094897976485503,vaderlandsche,natie,1816
0,2.2651559077062706,vaderlandsche,nationaal,1816
0,1.2526848362364191,vaderlandsche,nationale,1816
