"1830","1835","1840","1845","1850","1855","1860","1865","1870","1875","1880","1885","1890","1895","1900","1905","1910"
"handelaars","buitenlanders","buitenlanders","ambachtslieden","buitenlanders","buitenlanders","buitenlanders","buitenlanders","buitenlanders","buitenlanders","buitenlanders","italianen","buitenlanders","buitenlanders","hollanders","buitenlanders","buitenlanders"
"produkten","handelaren","fabriekanten","buitenlanders","handwerkslieden","vreemdelingen","europeanen","japannezen","japannezen","japannezen","emigranten","franschen","japannezen","kooplieden","buitenlanders","hollanders","handelaren"
"fabrieken","fabrieken","manufacturen","fabrijkanten","kooplieden","handelaren","japannezen","europeanen","emigranten","chinezen","japannezen","engelschen","hollanders","fabrikanten","belgen","nederlanders","fabrikanten"
"fabrikanten","producten","producten","handwerkslieden","ambachtslieden","handelaars","nederlanders","japanners","japanners","mandarijnen","hollanders","chinezen","japanners","winkeliers","zwitsers","italianen","winkeliers"
"producten","voortbrengselen","voortbrengselen","kooplieden","fabrikanten","fabrijkanten","emigranten","emigranten","chinezen","arabieren","chinezen","japannezen","jonken","fabriekanten","luxemburgers","amerikanen","slagers"
"voortbrengselen","productie","productie","winkeliers","fabriekanten","fabriekanten","kolonisten","kolonisten","mandarijnen","chineezen","mandarijnen","mandarijnen","emigranten","firmas","vreemdelingen","franschen","handelshuizen"
"mededinging","grondstoffen","grondstoffen","fabrikanten","handelaren","handelshuizen","japanners","chinezen","europeanen","kolonisten","kolonisten","inboorlingen","inboorlingen","handelshuizen","amerikanen","engelschen","landbouwers"
"handelaren","lijnwaden","lijnwaden","fabriekanten","handelaars","winkeliers","vreemdelingen","inlanders","chineezen","hollanders","inboorlingen","chineezen","kolonisten","industriëlen","franschen","belgen","afnemers"
"branderijen","concurrentie","markten","handelaren","winkeliers","fabrikanten","hollanders","javanen","arabieren","europeanen","arabieren","europeanen","koelies","fabrijkanten","elzassers","elzassers","kooplieden"
"manufacturen","markten","koopwaren","handelaars","fabrijken","kapitalisten","inlanders","koelies","zendelingen","japanners","europeanen","japanners","negers","handelaars","italianen","oostenrijkers","firmas"
"fabrijkanten","koopwaren","buitenlands","fabrieken","fabrieken","industriëlen","javanen","arabieren","indianen","koelies","japanners","zendelingen","chineezen","slagers","oostenrijkers","zwitsers","fabriekanten"
"kooplieden","mededinging","produkten","fabrijken","reeders","nederlanders","chinezen","indianen","inlanders","zendelingen","jonken","negers","inlanders","landbouwers","denen","handelaren","leveranciers"
