,pmi,w1,w2,year
0,1.3561005929258787,buitenlandsche,verre,1815
0,0.0,buitenlandsche,verbindingen,1815
0,2.026948393217512,buitenlandsche,verbinding,1815
0,1.6437194265562296,buitenlandsche,betrekking,1815
0,1.7321488529968672,buitenlandsche,betrekkingen,1815
0,2.9119865815875627,buitenlandsche,verhouding,1815
0,0.0,buitenlandsche,verhoudingen,1815
0,1.700628528060317,buitenlandsche,afstand,1815
0,1.4648140660142355,buitenland,verre,1815
0,0.0,buitenland,verbindingen,1815
0,1.8691956330043606,buitenland,verbinding,1815
0,1.709110217657288,buitenland,betrekking,1815
0,1.7685521072246733,buitenland,betrekkingen,1815
0,2.823226692861363,buitenland,verhouding,1815
0,0.0,buitenland,verhoudingen,1815
0,1.560894273349844,buitenland,afstand,1815
0,1.657972521957573,buitenlandsche,verre,1816
0,0.0,buitenlandsche,verbindingen,1816
0,0.0,buitenlandsche,verbinding,1816
0,1.6467897713946487,buitenlandsche,betrekking,1816
0,1.8668617976964315,buitenlandsche,betrekkingen,1816
0,1.7338011483842786,buitenlandsche,verhouding,1816
0,0.0,buitenlandsche,verhoudingen,1816
0,1.726576158006345,buitenlandsche,afstand,1816
0,1.6630673532442815,buitenland,verre,1816
0,0.0,buitenland,verbindingen,1816
0,0.0,buitenland,verbinding,1816
0,1.6453699216601636,buitenland,betrekking,1816
0,1.8445576547950258,buitenland,betrekkingen,1816
0,1.7025283355001122,buitenland,verhouding,1816
0,1.6094379124341003,buitenland,verhoudingen,1816
0,1.6801744635258786,buitenland,afstand,1816
0,1.464751629384964,buitenlandsche,verre,1817
0,0.0,buitenlandsche,verbindingen,1817
0,2.068570701818132,buitenlandsche,verbinding,1817
0,1.8440163814009045,buitenlandsche,betrekking,1817
0,2.0865892073208103,buitenlandsche,betrekkingen,1817
0,0.7335696350857918,buitenlandsche,verhouding,1817
0,0.0,buitenlandsche,verhoudingen,1817
0,2.0505521963154534,buitenlandsche,afstand,1817
0,1.4720684275122322,buitenland,verre,1817
0,0.0,buitenland,verbindingen,1817
0,1.8637129800017642,buitenland,verbinding,1817
0,1.8016775890823118,buitenland,betrekking,1817
0,2.046034536795719,buitenland,betrekkingen,1817
0,1.2218590938293696,buitenland,verhouding,1817
0,0.0,buitenland,verhoudingen,1817
0,2.2203879239404967,buitenland,afstand,1817
0,1.1703304310461105,buitenlandsche,verre,1818
0,0.0,buitenlandsche,verbindingen,1818
0,0.0,buitenlandsche,verbinding,1818
0,1.65495462036756,buitenlandsche,betrekking,1818
0,1.9854774462678468,buitenlandsche,betrekkingen,1818
0,1.9299982939476181,buitenlandsche,verhouding,1818
0,0.0,buitenlandsche,verhoudingen,1818
0,2.2171994815620484,buitenlandsche,afstand,1818
0,1.3249736004179204,buitenland,verre,1818
0,0.0,buitenland,verbindingen,1818
0,1.6146378340736927,buitenland,verbinding,1818
0,1.6896538653136475,buitenland,betrekking,1818
0,1.9719836938376585,buitenland,betrekkingen,1818
0,1.9713127780124249,buitenland,verhouding,1818
0,0.0,buitenland,verhoudingen,1818
0,2.1497807654903895,buitenland,afstand,1818
0,1.2822461047278113,buitenlandsche,verre,1819
0,0.0,buitenlandsche,verbindingen,1819
0,1.316075969246216,buitenlandsche,verbinding,1819
0,1.7652161408570421,buitenlandsche,betrekking,1819
0,1.9903546655017788,buitenlandsche,betrekkingen,1819
0,2.532471293570709,buitenlandsche,verhouding,1819
0,3.330978989788481,buitenlandsche,verhoudingen,1819
0,1.9959779230561407,buitenlandsche,afstand,1819
0,1.3877966877660366,buitenland,verre,1819
0,2.763749695091195,buitenland,verbindingen,1819
0,1.8474589632170397,buitenland,verbinding,1819
0,1.8248846411785007,buitenland,betrekking,1819
0,1.9776260580731448,buitenland,betrekkingen,1819
0,2.476067622639414,buitenland,verhouding,1819
0,3.169214803199359,buitenland,verhoudingen,1819
0,1.9954818840631414,buitenland,afstand,1819
0,1.2643983156686691,buitenlandsche,verre,1820
0,0.0,buitenlandsche,verbindingen,1820
0,0.0,buitenlandsche,verbinding,1820
0,1.6761912060297774,buitenlandsche,betrekking,1820
0,1.9969555809972026,buitenlandsche,betrekkingen,1820
0,1.8208840445484193,buitenlandsche,verhouding,1820
0,0.0,buitenlandsche,verhoudingen,1820
0,2.0246541447498574,buitenlandsche,afstand,1820
0,1.347322054441197,buitenland,verre,1820
0,0.0,buitenland,verbindingen,1820
0,0.0,buitenland,verbinding,1820
0,1.6932609735995134,buitenland,betrekking,1820
0,1.9744339180713624,buitenland,betrekkingen,1820
0,1.6572837833626737,buitenland,verhouding,1820
0,0.0,buitenland,verhoudingen,1820
0,1.9351618557178336,buitenland,afstand,1820
0,1.2076972943562987,buitenlandsche,verre,1821
0,0.0,buitenlandsche,verbindingen,1821
0,1.1603809698051673,buitenlandsche,verbinding,1821
0,1.7345207208661042,buitenlandsche,betrekking,1821
0,1.9150000144587804,buitenlandsche,betrekkingen,1821
0,1.8261291761769982,buitenlandsche,verhouding,1821
0,2.6644583665814414,buitenlandsche,verhoudingen,1821
0,1.8705064868995303,buitenlandsche,afstand,1821
0,1.3170655971864211,buitenland,verre,1821
0,0.0,buitenland,verbindingen,1821
0,1.034292461087723,buitenland,verbinding,1821
0,1.7571154097937849,buitenland,betrekking,1821
0,1.8820019288073482,buitenland,betrekkingen,1821
0,1.9231842187737636,buitenland,verhouding,1821
0,2.538369857863997,buitenland,verhoudingen,1821
0,1.831429355171716,buitenland,afstand,1821
0,1.374198336481891,buitenlandsche,verre,1822
0,0.0,buitenlandsche,verbindingen,1822
0,0.536168383025469,buitenlandsche,verbinding,1822
0,1.7734271649848716,buitenlandsche,betrekking,1822
0,1.9729349944977763,buitenlandsche,betrekkingen,1822
0,1.5859905075241467,buitenlandsche,verhouding,1822
0,0.0,buitenlandsche,verhoudingen,1822
0,1.47361734040697,buitenlandsche,afstand,1822
0,1.3915459493610107,buitenland,verre,1822
0,0.0,buitenland,verbindingen,1822
0,1.0821908488292225,buitenland,verbinding,1822
0,1.759123363249604,buitenland,betrekking,1822
0,1.8987170505496722,buitenland,betrekkingen,1822
0,1.7012300572354457,buitenland,verhouding,1822
0,0.0,buitenland,verhoudingen,1822
0,1.4557043571307844,buitenland,afstand,1822
0,1.2670879310951628,buitenlandsche,verre,1823
0,0.0,buitenlandsche,verbindingen,1823
0,0.0,buitenlandsche,verbinding,1823
0,1.790371111416239,buitenlandsche,betrekking,1823
0,2.030653401013391,buitenlandsche,betrekkingen,1823
0,1.8045292215610436,buitenlandsche,verhouding,1823
0,2.546466566290421,buitenlandsche,verhoudingen,1823
0,1.5168471491092625,buitenlandsche,afstand,1823
0,1.3792026030723479,buitenland,verre,1823
0,0.0,buitenland,verbindingen,1823
0,0.0,buitenland,verbinding,1823
0,1.817892787268076,buitenland,betrekking,1823
0,1.958301359850233,buitenland,betrekkingen,1823
0,2.011954073342553,buitenland,verhouding,1823
0,3.1105663620106627,buitenland,verhoudingen,1823
0,1.5419504440968177,buitenland,afstand,1823
0,1.4240039567884,buitenlandsche,verre,1824
0,0.0,buitenlandsche,verbindingen,1824
0,0.0,buitenlandsche,verbinding,1824
0,1.697053953181211,buitenlandsche,betrekking,1824
0,1.890833787352149,buitenlandsche,betrekkingen,1824
0,2.2455848129011993,buitenlandsche,verhouding,1824
0,3.3273899832529277,buitenlandsche,verhoudingen,1824
0,2.0746270147575596,buitenlandsche,afstand,1824
0,1.4212479991961582,buitenland,verre,1824
0,0.0,buitenland,verbindingen,1824
0,0.0,buitenland,verbinding,1824
0,1.7005205239814016,buitenland,betrekking,1824
0,1.9060835761733288,buitenland,betrekkingen,1824
0,2.1946573116355914,buitenland,verhouding,1824
0,3.181152302182995,buitenland,verhoudingen,1824
0,1.9998482976697722,buitenland,afstand,1824
0,1.3802818606698308,buitenlandsche,verre,1825
0,0.0,buitenlandsche,verbindingen,1825
0,1.0693149144569796,buitenlandsche,verbinding,1825
0,1.6988568450623525,buitenlandsche,betrekking,1825
0,1.971812324198799,buitenlandsche,betrekkingen,1825
0,1.1563262914466093,buitenlandsche,verhouding,1825
0,0.0,buitenlandsche,verhoudingen,1825
0,1.3549788227525235,buitenlandsche,afstand,1825
0,1.392594024304344,buitenland,verre,1825
0,0.0,buitenland,verbindingen,1825
0,0.9480956854669703,buitenland,verbinding,1825
0,1.7423928491483984,buitenland,betrekking,1825
0,2.004743775036048,buitenland,betrekkingen,1825
0,1.322789134908381,buitenland,verhouding,1825
0,0.0,buitenland,verhoudingen,1825
0,1.3481699449402582,buitenland,afstand,1825
0,1.4893307420938624,buitenlandsche,verre,1826
0,0.0,buitenlandsche,verbindingen,1826
0,0.0,buitenlandsche,verbinding,1826
0,1.5749671796492606,buitenlandsche,betrekking,1826
0,1.8537238244265624,buitenlandsche,betrekkingen,1826
