,pmi,year
0,1.4648140660142355,1815
1,1.6630673532442815,1816
2,1.4720684275122322,1817
3,1.3249736004179204,1818
4,1.3877966877660366,1819
5,1.347322054441197,1820
6,1.3170655971864211,1821
7,1.3915459493610107,1822
8,1.3792026030723479,1823
9,1.4212479991961582,1824
10,1.392594024304344,1825
11,1.5034081629120026,1826
12,1.286913798817703,1827
13,1.456546430281372,1828
14,1.5658281519158328,1829
15,1.4889691567586076,1830
16,1.5220044323260316,1831
17,1.479274024526609,1832
18,1.4138774724555179,1833
19,1.395088649404551,1834
20,1.3779099459643007,1835
21,1.3564177988575503,1836
22,1.4223599052087152,1837
23,1.4496055039969231,1838
24,1.4518218479583502,1839
25,1.4298803509854876,1840
26,1.256391612238449,1841
27,1.3115558549516828,1842
28,1.394183826535885,1843
29,1.4393069323913463,1844
30,1.5926331090277874,1845
31,1.3852133496672459,1846
32,1.489999855738639,1847
33,1.472616773965859,1848
34,1.3653872796914612,1849
35,1.4889303300406094,1850
36,1.5557469329177467,1851
37,1.4486675839733703,1852
38,1.613368827457434,1853
39,1.5137937103892296,1854
40,1.5749402785687852,1855
