,pmi,w1,w2,year
0,1.096005744770879,buitenland,overzee,1815
0,0.40285856421093375,buitenland,vasteland,1815
0,1.9869786686607442,buitenland,continent,1815
0,0.0,buitenland,continentaal,1815
0,2.274660741112525,buitenland,overzees,1815
0,1.7246144041932534,buitenland,werelddeel,1815
0,1.6992965962089632,buitenland,beschaving,1815
0,1.6599851759940751,buitenland,europa,1815
0,0.9660764325322495,buitenlandsche,overzee,1815
0,0.5606113244240851,buitenlandsche,vasteland,1815
0,2.1447314288738957,buitenlandsche,continent,1815
0,0.0,buitenlandsche,continentaal,1815
0,2.4324135013256765,buitenlandsche,overzees,1815
0,1.6592236130921947,buitenlandsche,werelddeel,1815
0,1.8570493564221144,buitenlandsche,beschaving,1815
0,1.648537467375969,buitenlandsche,europa,1815
0,1.4759065198095778,buitenland,overzee,1816
0,1.1394342831883648,buitenland,vasteland,1816
0,1.6784307839210517,buitenland,continent,1816
0,2.2380465718564744,buitenland,continentaal,1816
0,1.8325814637483102,buitenland,overzees,1816
0,1.9661128563728327,buitenland,werelddeel,1816
0,2.1892564076870427,buitenland,beschaving,1816
0,1.5236971836459263,buitenland,europa,1816
0,1.2884901317289146,buitenlandsche,overzee,1816
0,1.2884901317289146,buitenlandsche,vasteland,1816
0,1.8274866324616013,buitenlandsche,continent,1816
0,2.3871024203970244,buitenlandsche,continentaal,1816
0,1.9816373122888598,buitenlandsche,overzees,1816
0,2.1151687049133825,buitenlandsche,werelddeel,1816
0,2.338312256227592,buitenlandsche,beschaving,1816
0,1.461443938519269,buitenlandsche,europa,1816
0,1.648601600384819,buitenland,overzee,1817
0,2.086856531315974,buitenland,vasteland,1817
0,1.6813914232078095,buitenland,continent,1817
0,0.0,buitenland,continentaal,1817
0,2.962325268669874,buitenland,overzees,1817
0,2.086856531315974,buitenland,werelddeel,1817
0,1.648601600384819,buitenland,beschaving,1817
0,1.8097725898560164,buitenland,europa,1817
0,1.6303157708869769,buitenlandsche,overzee,1817
0,2.068570701818132,buitenlandsche,vasteland,1817
0,0.0,buitenlandsche,continent,1817
0,0.0,buitenlandsche,continentaal,1817
0,3.1671829904862414,buitenlandsche,overzees,1817
0,2.2917142531323416,buitenlandsche,werelddeel,1817
0,1.8534593222011866,buitenlandsche,beschaving,1817
0,1.899854797079956,buitenlandsche,europa,1817
0,0.9904835250006988,buitenland,overzee,1818
0,1.9023199065254734,buitenland,vasteland,1818
0,1.796959390867647,buitenland,continent,1818
0,3.4063973033017474,buitenland,continentaal,1818
0,2.020102942181857,buitenland,overzees,1818
0,1.8308609425433284,buitenland,werelddeel,1818
0,1.9023199065254734,buitenland,beschaving,1818
0,1.3695153760407075,buitenland,europa,1818
0,0.661486968484111,buitenlandsche,overzee,1818
0,1.9018274169809217,buitenlandsche,vasteland,1818
0,1.9787884581170503,buitenlandsche,continent,1818
0,3.5882263705511503,buitenlandsche,continentaal,1818
0,2.2019320094312596,buitenlandsche,overzees,1818
0,1.6072249016845672,buitenlandsche,werelddeel,1818
0,2.084148973774876,buitenlandsche,beschaving,1818
0,1.2769075975883504,buitenlandsche,europa,1818
0,1.1677348029892352,buitenland,overzee,1819
0,1.0897732615195233,buitenland,vasteland,1819
0,2.7637496950911946,buitenland,continent,1819
0,3.169214803199359,buitenland,continentaal,1819
0,1.5597768907652587,buitenland,overzees,1819
0,2.2937460658454594,buitenland,werelddeel,1819
0,1.7420984475592134,buitenland,beschaving,1819
0,1.7249731980337502,buitenland,europa,1819
0,1.3294989895783569,buitenlandsche,overzee,1819
0,0.0,buitenlandsche,vasteland,1819
0,2.743192324886362,buitenlandsche,continent,1819
0,3.1078354384742712,buitenlandsche,continentaal,1819
0,1.7215410773543804,buitenlandsche,overzees,1819
0,2.2323667011203714,buitenlandsche,werelddeel,1819
0,1.9038626341483351,buitenlandsche,beschaving,1819
0,1.6435070747419247,buitenlandsche,europa,1819
0,1.8721488878890995,buitenland,overzee,1820
0,1.889085397419998,buitenland,vasteland,1820
0,0.0,buitenland,continent,1820
0,0.0,buitenland,continentaal,1820
0,2.106808881264868,buitenland,overzees,1820
0,0.9727946655458428,buitenland,werelddeel,1820
0,2.0014483656070423,buitenland,beschaving,1820
0,1.707723380120743,buitenland,europa,1820
0,1.7480670766230644,buitenlandsche,overzee,1820
0,1.8295421072915337,buitenlandsche,vasteland,1820
0,0.0,buitenlandsche,continent,1820
0,0.0,buitenlandsche,continentaal,1820
0,2.047265591136404,buitenlandsche,overzees,1820
0,1.1363949267315883,buitenlandsche,werelddeel,1820
0,2.1650486267927875,buitenlandsche,beschaving,1820
0,1.6948672039649324,buitenlandsche,europa,1820
0,1.173128905941939,buitenland,overzee,1821
0,0.01264121355574182,buitenland,vasteland,1821
0,2.67190125048852,buitenland,continent,1821
0,2.826051930315778,buitenland,continentaal,1821
0,1.6220791259898422,buitenland,overzees,1821
0,1.4397575691958875,buitenland,werelddeel,1821
0,1.0567653169397817,buitenland,beschaving,1821
0,1.7225496563534768,buitenland,europa,1821
