,pmi,w1,w2,year
0,1.079084946335957,buitenlandsche,gisteren,1815
0,0.0,buitenlandsche,vandaag,1815
0,1.246638056051648,buitenlandsche,week,1815
0,0.9021805249883765,buitenlandsche,dag,1815
0,1.1714590664618068,buitenlandsche,maand,1815
0,1.1924007605165434,buitenlandsche,jaar,1815
0,0.0,buitenlandsche,periode,1815
0,1.0734740236551528,buitenlandsche,eeuw,1815
0,1.4265294699684277,buitenlandsche,toen,1815
0,1.0896550523644382,buitenlandsche,nu,1815
0,1.583863292622007,buitenlandsche,ooit,1815
0,1.554011037371024,buitenlandsche, tegenwoordig ,1815
0,1.6866225872803091,buitenlandsche,toekomst,1815
0,1.0644330297634792,buitenland,gisteren,1815
0,0.0,buitenland,vandaag,1815
0,1.295499545201496,buitenland,week,1815
0,0.9306926857040688,buitenland,dag,1815
0,1.225880826192291,buitenland,maand,1815
0,1.2522717583940042,buitenland,jaar,1815
0,0.0,buitenland,periode,1815
0,1.1369582364856297,buitenland,eeuw,1815
0,1.428569153489203,buitenland,toen,1815
0,1.1404763820326402,buitenland,nu,1815
0,1.6098930098424853,buitenland,ooit,1815
0,1.611679782378172,buitenland, tegenwoordig ,1815
0,1.7680995161329922,buitenland,toekomst,1815
0,0.9245450288389371,buitenlandsche,gisteren,1816
0,0.0,buitenlandsche,vandaag,1816
0,1.3117856943324364,buitenlandsche,week,1816
0,0.9737332624917058,buitenlandsche,dag,1816
0,1.3286895845612179,buitenlandsche,maand,1816
0,1.1506341619764895,buitenlandsche,jaar,1816
0,1.9816373122888598,buitenlandsche,periode,1816
0,0.9360360395872538,buitenlandsche,eeuw,1816
0,1.2433915804413993,buitenlandsche,toen,1816
0,1.0887115993113723,buitenlandsche,nu,1816
0,1.4833904707297292,buitenlandsche,ooit,1816
0,1.3480098217545429,buitenlandsche, tegenwoordig ,1816
0,1.8076840051654217,buitenlandsche,toekomst,1816
0,0.9137938516755677,buitenland,gisteren,1816
0,0.0,buitenland,vandaag,1816
0,1.3093333199837622,buitenland,week,1816
0,0.9735426692119505,buitenland,dag,1816
0,1.3368851935261747,buitenland,maand,1816
0,1.19959120002457,buitenland,jaar,1816
0,1.8325814637483102,buitenland,periode,1816
0,1.0358762384633287,buitenland,eeuw,1816
0,1.2686891190456273,buitenland,toen,1816
0,1.1197326377109533,buitenland,nu,1816
0,1.528490636630137,buitenland,ooit,1816
0,1.331305424698667,buitenland, tegenwoordig ,1816
0,1.905488234556398,buitenland,toekomst,1816
0,1.2516845418489517,buitenlandsche,gisteren,1817
0,0.0,buitenlandsche,vandaag,1817
0,1.3494480348549263,buitenlandsche,week,1817
0,1.0407844657186347,buitenlandsche,dag,1817
0,1.3643736850716015,buitenlandsche,maand,1817
0,1.279669980772691,buitenlandsche,jaar,1817
0,0.0,buitenlandsche,periode,1817
0,0.6925137497914615,buitenlandsche,eeuw,1817
0,1.543070667122881,buitenlandsche,toen,1817
0,1.050053698441279,buitenlandsche,nu,1817
0,1.6525336547845688,buitenlandsche,ooit,1817
0,1.480784036916013,buitenlandsche, tegenwoordig ,1817
0,1.1130592567906956,buitenlandsche,toekomst,1817
0,1.158618226020701,buitenland,gisteren,1817
0,0.0,buitenland,vandaag,1817
0,1.2759263150996454,buitenland,week,1817
0,1.0246380987949928,buitenland,dag,1817
