,pmi,year
0,-1.2357993159797007,1815
1,-1.630546690416874,1816
2,-0.9581756252650284,1817
3,-1.11270843742132,1818
4,-1.4311949450092754,1819
5,-1.2386892452798874,1820
6,-1.263210827134264,1821
7,-1.1521184321588842,1822
8,-1.332206459456171,1823
9,-1.2696704846069347,1824
10,-1.0382432492455573,1825
11,-1.4873503248539806,1826
12,-1.4269957584028772,1827
13,-1.3801276544117904,1828
14,-1.0058071128777624,1829
15,-0.9267405751759806,1830
16,-0.8722434128403581,1831
17,-1.2237075256546246,1832
18,-1.352538691958099,1833
19,-1.410313111455998,1834
20,-1.3576476277552327,1835
21,-1.552337055280504,1836
22,-1.5556996616462369,1837
23,-1.246114922776293,1838
24,-1.1571919995370625,1839
25,-1.3134872761282377,1840
26,-1.318059124318996,1841
27,-1.2226833350061883,1842
28,-1.1892486051930382,1843
29,-0.9971813613919118,1844
30,-0.8766478343065495,1845
31,-1.2085279717065442,1846
32,-0.9265799825221209,1847
33,-1.2715640838865883,1848
34,-1.2263479891043154,1849
35,-1.2073159635299453,1850
36,-1.0534730813405848,1851
37,-1.15914221009174,1852
38,-0.9422024241828206,1853
39,-1.2756808787171527,1854
40,-1.092045825967316,1855
41,-1.0969134904532414,1856
42,-1.1472071727469286,1857
43,-0.9952560338021976,1858
44,-0.8403191390408,1859
45,-0.8749661033940751,1860
46,-0.7232801048129192,1861
47,-1.0484070950898012,1862
48,-1.0156981731166659,1863
49,-0.7869569866017332,1864
50,-1.108390777728491,1865
51,-0.9719521505062806,1866
52,-0.7716408637218478,1867
53,-0.9746865167905657,1868
54,-0.8919955690977802,1869
55,-1.040256247202386,1870
56,-1.0903547152783717,1871
57,-1.0139958768338326,1872
58,-0.753293722269818,1873
59,-0.8113115991313951,1874
60,-0.7322255764240657,1875
61,-0.8504322730087643,1876
62,-0.7674374522966575,1877
63,-0.4195175494063131,1878
64,-0.6118196350077065,1879
65,-0.6767127290607683,1880
66,-0.6480729581230591,1881
67,-0.7563903450855238,1882
68,-0.6290919289698729,1883
69,-0.8593316999509272,1884
70,-0.8808339934220373,1885
71,-0.5122822280380365,1886
72,-0.7349997252676467,1887
73,-0.6239877530690864,1888
74,-0.5717175313758962,1889
75,-0.8508231426678581,1890
76,-0.8444034182071793,1891
77,-0.8837257912137653,1892
78,-0.6924222651628902,1893
79,-0.9499740535814437,1894
80,-0.6470781543365294,1895
81,-0.7357748806069182,1896
82,-0.5582577356848497,1897
83,-0.7420334333483485,1898
84,-0.7306398530356046,1899
85,-0.6819834878928283,1900
86,-0.47756376184331484,1901
87,-0.29561278453880363,1902
88,-0.5488369074339626,1903
89,-0.632893517373203,1904
90,-0.5156349633102314,1905
91,-0.40668128635294937,1906
92,-0.40929121196947976,1907
93,-0.35438320177221083,1908
94,-0.4454009268779391,1909
95,-0.662292506418816,1910
96,-0.4673008853187315,1911
97,-0.2427272451347583,1912
98,-0.27656140514360456,1913
99,-0.6288801734693057,1914
