,pmi,w1,w2,year
0,1.1902889310353642,buitenlandsche,onrust,1815
0,1.5038526768597071,buitenlandsche,onzeker,1815
0,0.950808960401461,buitenlandsche,onrustig,1815
0,0.6406540320976214,buitenlandsche,onrustige,1815
0,1.7633638723447917,buitenlandsche,onzekere,1815
0,1.6592236130921947,buitenlandsche,onzekerheid,1815
0,1.358802514862984,buitenlandsche,bewegingen,1815
0,2.6837279296065826,buitenlandsche,ontwikkelingen,1815
0,1.4147702751912339,buitenlandsche,ontwikkeling,1815
0,2.314630465669293,buitenlandsche,crisis,1815
0,1.7128330636975757,buitenlandsche,toestand,1815
0,1.046119140205786,buitenlandsche,onrustbarend,1815
0,1.1331305171954156,buitenlandsche,onrustbarende,1815
0,1.1861063331731798,buitenlandsche,beweging,1815
0,1.358802514862984,buitenlandsche,bewegingen,1815
0,0.0,buitenlandsche,stabiliteit,1815
0,0.0,buitenlandsche,stabiele,1815
0,1.1866868506494714,buitenland,onrust,1815
0,1.6056111121316403,buitenland,onzeker,1815
0,1.2630598294340452,buitenland,onrustig,1815
0,1.1760484524444152,buitenland,onrustige,1815
0,1.6056111121316403,buitenland,onzekere,1815
0,1.7734045683626853,buitenland,onzekerheid,1815
0,1.3787309318872851,buitenland,bewegingen,1815
0,2.525975169393431,buitenland,ontwikkelingen,1815
0,1.5934897515992956,buitenland,ontwikkeling,1815
0,2.1568777054561417,buitenland,crisis,1815
0,1.6886116961089468,buitenland,toestand,1815
0,0.8883663799926345,buitenland,onrustbarend,1815
0,0.9753777569822645,buitenland,onrustbarende,1815
0,1.1786357760093664,buitenland,beweging,1815
0,1.3787309318872851,buitenland,bewegingen,1815
0,0.0,buitenland,stabiliteit,1815
0,0.0,buitenland,stabiele,1815
0,1.1931799519245894,buitenlandsche,onrust,1816
0,1.8138438560578152,buitenlandsche,onzeker,1816
0,1.0992481320903857,buitenlandsche,onrustig,1816
0,0.10983513538726819,buitenlandsche,onrustige,1816
0,1.693955239837079,buitenlandsche,onzekere,1816
0,1.967038512867707,buitenlandsche,onzekerheid,1816
0,1.3574830032158658,buitenlandsche,bewegingen,1816
0,1.75849376097465,buitenlandsche,ontwikkelingen,1816
0,1.6187318185994912,buitenlandsche,ontwikkeling,1816
