ngram,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
dezelve,58,45,47,44,50,43,45,48,43,47,47,45,52,46,52,51,56,55,57,47,59,54,51,50,47,47,47,52,54,48,51,49,44,39,37,33,37,33,30,31,19,25,22,21,23,22,19,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nieuwe,18,15,12,0,13,14,19,21,22,25,16,26,22,31,28,28,31,34,40,42,36,44,38,48,43,45,44,40,49,52,63,56,65,71,75,70,65,73,67,71,60,89,90,96,107,102,83,100,95,96,98,110,119,117,134,75,97,93,90,84,97,84,88,84,124,105,99,110,111,105,93,93,101,103,118,115,117,113,101,116,160,146,146,136,158,132,160,145,143,160,149,148,147,154,144,165,180,195,186
fransche,16,13,0,0,0,0,0,0,13,14,18,19,28,41,27,34,44,58,57,43,37,49,43,44,45,47,35,46,39,54,46,44,48,41,51,48,47,71,60,62,57,61,50,77,81,82,69,77,78,57,65,65,91,70,74,92,81,57,47,38,40,36,33,29,49,42,48,64,56,54,39,36,40,39,36,47,60,58,71,49,74,68,55,67,62,50,74,62,51,62,64,71,66,77,64,72,91,74,79
eenige,29,17,19,12,16,16,14,23,20,18,24,23,29,31,29,34,42,36,48,43,34,42,37,42,41,33,40,40,39,46,49,59,68,69,64,73,61,73,73,74,54,79,76,76,88,76,77,89,80,71,82,78,85,91,111,76,74,71,58,64,72,64,72,66,86,73,74,82,96,75,81,64,80,75,80,77,78,85,79,81,120,115,105,111,125,103,121,102,98,134,108,112,107,111,106,119,131,129,123
belgische,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,53,50,46,39,20,24,20,36,41,18,19,24,24,27,24,25,18,16,20,14,19,31,25,15,12,20,19,21,17,14,13,13,14,18,20,23,28,16,32,18,16,11,0,11,23,16,12,15,26,21,13,14,27,24,15,0,12,0,12,12,15,19,18,15,29,19,21,20,25,22,23,19,18,19,20,17,28,30,31,47,40,31,29
geheel,16,19,15,16,14,16,17,20,14,16,17,21,24,25,24,33,37,34,39,36,33,37,35,33,33,39,35,33,43,40,48,50,52,52,50,47,48,47,48,51,49,49,52,54,49,49,52,56,57,57,53,58,58,57,63,50,52,48,50,51,51,51,55,47,59,52,55,64,64,61,59,51,60,61,65,65,72,63,66,75,85,83,77,76,80,75,76,81,70,74,71,71,73,73,74,77,79,85,77
hetzelve,34,29,24,24,26,23,27,29,32,29,29,31,32,32,38,33,41,41,37,36,34,35,35,31,30,33,32,27,34,32,38,32,38,28,31,29,20,23,19,26,19,20,22,23,23,21,21,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engelsche,0,0,0,0,0,0,0,0,0,0,0,16,22,26,26,21,24,33,35,28,21,33,27,30,27,33,29,35,21,35,27,29,42,33,31,42,33,29,54,54,55,61,63,70,55,48,43,58,60,55,46,39,46,49,46,43,34,47,35,32,47,48,46,51,61,42,59,73,61,67,49,40,42,47,49,45,44,44,54,57,72,82,62,66,104,112,109,95,65,69,62,49,61,66,62,79,79,74,67
vreemde,15,21,0,12,0,0,11,17,15,17,13,18,0,18,17,22,24,35,31,32,29,29,18,28,23,20,27,26,23,29,34,31,43,40,42,42,42,48,42,36,34,50,42,47,63,49,46,44,40,49,46,49,53,47,53,31,27,30,33,22,35,31,33,27,32,25,34,36,34,36,21,16,36,27,26,30,35,34,28,26,52,48,47,50,55,48,54,41,31,44,33,44,36,35,41,41,49,47,47
geene,15,12,0,0,0,0,12,11,0,12,14,17,16,22,20,29,32,36,32,24,23,24,28,25,26,28,24,25,27,41,45,40,53,45,43,35,34,36,31,35,35,40,44,44,56,46,51,47,54,38,39,47,45,45,52,33,26,28,24,16,24,12,14,12,16,14,14,13,17,13,11,0,0,11,0,0,11,0,11,0,0,14,0,11,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0
groote,14,11,0,11,0,0,0,15,0,13,12,12,16,13,18,20,23,23,22,24,14,24,17,24,27,23,22,20,29,28,32,30,34,40,38,44,40,45,49,52,52,58,49,63,76,64,65,72,63,66,75,75,70,73,88,74,68,68,59,67,72,65,67,81,91,81,77,90,101,83,84,75,82,85,97,97,98,94,100,104,140,128,133,134,153,130,155,146,128,159,150,134,149,136,141,153,168,187,176
lang,15,12,0,0,0,0,0,15,14,15,13,11,12,17,18,22,24,23,27,21,21,22,20,24,24,24,22,19,23,25,26,26,25,28,21,24,20,25,26,24,24,24,30,30,32,31,33,31,30,30,29,35,38,33,38,33,26,31,29,31,33,36,34,35,42,43,39,44,40,41,40,33,39,38,41,43,43,41,36,39,60,51,54,47,54,51,54,54,47,55,53,50,53,53,53,58,61,64,64
