year,algh,arnc,brdc,leco,mico,nvdd,prda,year
1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815
1816,0.0,0.013344453711426188,0.0,0.0,0.0,0.0,0.0,1816
1817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817
1818,0.0,0.0,0.0,0.016813757230809957,0.0,0.0,0.0,1818
1819,0.0,0.0,0.0,0.011089924982023588,0.0,0.0,0.0,1819
1820,0.0,0.0,0.0,0.007154790310982961,0.0,0.0,0.0,1820
1821,0.0,0.0,0.0,0.006439311279884665,0.0,0.0,0.0,1821
1822,0.0,0.0,0.0,0.007154790310982961,0.0,0.0,0.0,1822
1823,0.0,0.0,0.0,0.007512529826532109,0.0,0.0,0.0,1823
1824,0.0,0.0,0.0,0.0021464370932948885,0.0,0.0,0.0,1824
1825,0.0,0.0,0.0,0.0014309580621965922,0.0,0.0,0.0,1825
1826,0.0,0.0,0.0,0.0025041766088440363,0.0,0.0,0.0,1826
1827,0.0,0.0,0.0,0.00536609273323722,0.0,0.0,0.0,1827
1828,0.0,0.010008340283569641,0.0,0.0007154790310982961,0.0,0.0,0.0,1828
1829,0.0,0.0,0.0,0.0007154790310982961,0.0,0.0,0.0,1829
1830,0.0,0.0,0.0,0.0021464370932948885,0.0,0.0,0.0,1830
1831,0.02163496719757179,0.0,0.0,0.0035773951554914805,0.0,0.0,0.0,1831
1832,0.0,0.010008340283569641,0.0,0.0021464370932948885,0.0,0.0,0.0,1832
1833,0.0,0.006672226855713094,0.006353643814727746,0.0050083532176880725,0.0,0.0,0.0,1833
1834,0.003817935387806787,0.0,0.0,0.007512529826532109,0.0,0.0,0.0,1834
1835,0.019407838221351167,0.0,0.0,0.007512529826532109,0.0,0.0,0.0,1835
1836,0.0197259995036684,0.0,0.0,0.0050083532176880725,0.0,0.0,0.0,1836
1837,0.01813519309208224,0.0,0.0,0.007870269342081257,0.0,0.0,0.0,1837
1838,0.017817031809765006,0.0,0.0,0.0050083532176880725,0.0,0.0,0.0,1838
1839,0.019407838221351167,0.0,0.0,0.008585748373179554,0.0,0.0,0.0,1839
1840,0.019407838221351167,0.19349457881567975,0.0,0.00930122740427785,0.0,0.0,0.0,1840
1841,0.01686254796281331,0.21017514595496248,0.0,0.007154790310982961,0.0,0.0,0.0,1841
1842,0.019089676939033937,0.21017514595496248,0.0,0.006081571764335517,0.0,0.0,0.0,1842
1843,0.020680483350620095,0.2001668056713928,0.0,0.008943487888728702,0.0,0.0,0.0,1843
1844,0.01813519309208224,0.19683069224353628,0.0,0.005723832248786369,0.0,0.0,0.0,1844
1845,0.01845335437439947,0.2602168473728107,0.0,0.00930122740427785,0.0,0.0,0.0,1845
1846,0.01845335437439947,0.2001668056713928,0.0,0.006797050795433812,0.0,0.0,0.0,1846
1847,0.017817031809765006,0.2068390325271059,0.0,0.0,0.0,0.0,0.0,1847
1848,0.017817031809765006,0.0,0.0,0.0,0.057295124457742576,0.0,0.0,1848
1849,0.019089676939033937,0.0,0.0,0.0007154790310982961,0.07730294569695427,0.0,0.0,1849
1850,0.018771515656716704,0.0,0.0,0.0,0.06638958865738426,0.0,0.0,1850
1851,0.020044160785985633,0.0,0.0,0.0,0.07184626717716926,0.0,0.2697110766275031,1851
1852,0.017817031809765006,0.0,0.0,0.0,0.06275180297752758,0.0,0.29187911032291436,1852
1853,0.020362322068302866,0.0,0.0,0.0,0.0509289995179934,0.0,0.2142909923889751,1853
1854,0.020362322068302866,0.0,0.0,0.004292874186589777,0.0,0.0,0.2142909923889751,1854
1855,0.017817031809765006,0.0,0.0,0.0007154790310982961,0.06366124939749175,0.0,0.2438483706495234,1855
1856,0.017817031809765006,0.0,0.0,0.0,0.06002346371763508,0.0,0.2623217320623661,1856
1857,0.019089676939033937,0.0,0.0,0.0,0.03728730321853088,0.0,0.19581763097613242,1857
1858,0.019089676939033937,0.0,0.0,0.0,0.06548014223742009,0.0,0.2253750092366807,1858
1859,0.019089676939033937,0.0,0.0,0.0,0.057295124457742576,0.0,0.16626025271558414,1859
1860,0.022589451044523493,0.0,0.0,0.0,0.06366124939749175,0.0,0.19212295869356388,1860
1861,0.019407838221351167,0.0,0.0,0.0,0.06366124939749175,0.0,0.16626025271558414,1861
1862,0.01845335437439947,0.0,0.0,0.0,0.059114017297670914,0.0,0.21798566467154365,1862
1863,0.017817031809765006,0.0,0.0,0.0,0.061842356557563406,0.0,0.21798566467154365,1863
1864,0.014635418986592685,0.0,0.0,0.0,0.06911792791727676,0.0,0.20690164782383802,1864
1865,0.015271741551227147,0.0,0.0,0.0,0.061842356557563406,0.0,0.18103894184585828,1865
1866,0.015908064115861615,0.0,0.0,0.0007154790310982961,0.059114017297670914,0.0,0.12931352988989878,1866
1867,0.019089676939033937,0.0,0.0,0.0,0.06366124939749175,0.0,0.18842828641099535,1867
1868,0.015271741551227147,0.0,0.0,0.0,0.06275180297752758,0.0,0.1625655804330156,1868
1869,0.013999096421958217,0.0,0.06353643814727747,0.0,0.06457069581745592,0.0,0.0,1869
1870,0.020362322068302866,0.0,0.1355444013808586,0.0,0.0,0.027680146254168113,0.0,1870
1871,0.01272645129268929,0.0,0.0,0.0,0.0,0.02864573275140654,0.0,1871
1872,0.009544838469516969,0.0,0.0,0.0,0.0,0.025748973259691266,0.0,1872
1873,0.0197259995036684,0.0,0.0,0.0,0.0,0.022208489436483722,0.0,1873
1874,0.019089676939033937,0.0,0.0,0.0,0.0,0.018989867779022312,0.0,1874
1875,0.01718070924513054,0.0,0.0,0.0,0.0,0.01866800561327617,0.0,1875
1876,0.014635418986592685,0.0,0.0,0.0,0.0,0.020599178607753014,0.0,1876
1877,0.016544386680496077,0.0,0.0,0.0,0.0,0.019955454276260734,0.0,1877
