npp;sy;ey;ppns
algh;1828;1914;832337900
nvdd;1870;1914;83249562X
tijd;1846;1858;832688045
arnc;1815;1848;82000541X
nesc;1815;1914;830850090
roni;1878;1914;832564818
leco;1815;1914;852115210
prov;1845;1914;833050788
prda;1823;1869;833050346
nroc;1844;1914;832495182
roco;1815;1867;852536267
mico;1816;1914;852121741
ophc;1815;1869;852487045
dzhg;1853;1869;832866024
tico;1869;1914;833066226
brdc;1815;1870;852175035
leyc;1758;1868;84377455X
delc;1861;1914;85216792X
hagc;1883;1914;832402826
prnb;1853;1914;833050672
stan;1872;1899;832667536
