year,tokens,characters,rel_characters,alternatives,rel_alternatives,true,alt_rel_to_total_buit
1815,5686482,56057,0.9857940287158211,107,0.0018816554769715264,513,17.258064516129032
1816,4802322,44755,0.9319450049371949,168,0.0034983076936531956,656,20.388349514563107
1817,4043759,47585,1.1767516313410369,110,0.002720241240885028,470,18.96551724137931
1818,4465745,53802,1.2047709844605994,124,0.002776692354803062,510,19.558359621451103
1819,4242469,48956,1.1539506829631518,153,0.003606390524008543,597,20.4
1820,4442881,47465,1.0683383147106573,133,0.002993553057126671,459,22.466216216216218
1821,4561697,53748,1.178245727412408,222,0.004866609948008384,581,27.646326276463263
1822,4909844,53638,1.0924583347250951,241,0.0049085062580399704,758,24.124124124124123
1823,4792725,44253,0.9233369325383785,246,0.005132779368730732,770,24.21259842519685
1824,4911844,50315,1.0243607085241306,165,0.0033592272067272493,693,19.230769230769234
1825,5015313,55701,1.110618619416176,130,0.002592061552289957,703,15.606242496998798
1826,4874755,46768,0.9593918053317552,56,0.0011487756820599188,977,5.421103581800581
1827,5068367,51174,1.0096743191643383,37,0.0007300181695603338,958,3.7185929648241203
1828,6160772,69468,1.1275859583831376,53,0.0008602817958528573,1026,4.911955514365153
1829,7067596,82166,1.1625735257080343,60,0.0008489449595024956,1079,5.267778753292362
1830,8731314,93881,1.0752218967271134,46,0.0005268393737758143,1145,3.8623005877413936
1831,9557319,100647,1.053088214383134,121,0.0012660454255006032,2240,5.124947056332062
1832,11082795,131097,1.182887529725128,174,0.001570001069224866,2673,6.111696522655427
1833,10299950,107118,1.0399856309982087,158,0.0015339880290681023,2390,6.200941915227629
1834,10049591,138436,1.3775286974365424,145,0.001442844788409797,2085,6.502242152466367
1835,9913837,118236,1.1926361105190655,90,0.00090782206727829,2084,4.139834406623735
1836,10033001,119876,1.194816984469552,94,0.0009369081095476817,2056,4.372093023255814
1837,9433775,113693,1.205169722618994,44,0.00046640925822377574,1554,2.753441802252816
1838,9803371,110745,1.1296624395832822,97,0.0009894555658456667,1799,5.116033755274262
1839,9686454,97514,1.0067048271741135,138,0.0014246699566218969,2026,6.377079482439926
1840,10351607,110539,1.0678438623104607,123,0.0011882213070878752,1660,6.898485698261357
1841,10483197,109121,1.040913377856011,132,0.0012591578694934379,2118,5.866666666666666
