"","ngram","1810","1820","1830","1840","1850","1860","1870","1880","1890","1900","1910"
"1","—",0,0,0,0,0,0,5,19,19,4,6
"2","——",0,0,0,0,0,0,21,0,0,0,0
"3","—¦—",0,0,0,0,0,0,0,0,2,0,0
"4","¦",0,0,0,0,0,0,0,0,1,0,0
"5","¦aken",0,0,0,0,0,0,0,0,1,0,0
"6","¦wisselportefeuille",0,0,0,0,0,0,0,0,0,0,2
"7","„",0,0,0,0,0,0,0,23,445,83,52
"8","„wiesenbauschüle",0,0,0,0,0,0,0,0,1,0,0
"9","£",0,0,0,0,0,0,0,0,4,4,0
"10","£aken",0,0,0,0,0,0,0,0,0,0,2
"11","«",0,0,0,0,0,0,0,0,2,0,0
"12","«aken",2,0,8,2,4,5,0,0,5,6,35
"13","«en",0,0,0,0,0,0,0,0,1,0,0
"14","«ken",0,0,0,0,0,0,0,0,0,0,3
"15","»",0,2,0,0,17,6,0,2,9,4,2
"16","°",0,0,0,0,0,0,0,0,1,0,0
"17","•",0,0,0,0,6,4,2,0,2,6,0
"18","•¦v",0,0,0,0,0,0,0,0,1,0,0
"19","••",0,0,0,0,0,0,0,0,0,5,0
"20","•ehuldbrieven",0,0,0,0,0,0,0,0,1,0,0
"21","00",0,0,0,0,0,0,0,0,0,81,80
"22","1",0,0,2,2,598,4,4,0,2,19,0
"23","1«",0,0,0,0,2,0,0,0,0,0,0
"24","1»",0,0,0,0,18,0,0,0,0,0,0
"25","10",0,0,0,0,0,0,3,0,0,0,0
"26","100",0,0,0,0,0,0,0,4,0,0,0
"27","11",0,0,0,0,63,0,0,0,0,0,0
"28","131",0,0,0,0,0,0,2,0,0,0,0
"29","1315",0,0,0,0,0,0,2,0,0,0,0
"30","1360",0,0,0,0,0,0,2,0,0,0,0
"31","1380",0,0,0,0,0,0,2,0,0,0,0
"32","13i",0,0,0,0,0,0,2,0,0,0,0
"33","14",0,0,0,0,41,0,4,7,4,0,0
"34","141",0,0,0,0,0,0,0,0,0,6,0
"35","1460",0,0,0,0,0,0,2,0,0,0,0
"36","1480",0,0,0,0,0,0,2,0,0,0,0
"37","157",0,0,0,0,0,0,2,0,0,0,0
"38","18",0,0,0,0,0,0,2,0,0,3,0
"39","1837",0,0,0,0,0,0,2,0,0,0,0
"40","1867",0,0,0,0,0,56,581,0,0,0,0
"41","1871",0,0,0,0,0,0,12,0,0,0,0
"42","1894",0,0,0,0,0,0,0,0,127,0,0
"43","2",0,0,0,0,0,0,0,0,0,0,2
"44","23",0,0,0,0,0,0,2,0,0,0,0
"45","26",0,0,0,0,2,0,0,0,0,0,0
"46","2644269",0,0,0,0,2,0,0,0,0,0,0
"47","2aken",0,0,0,0,2,0,0,0,0,0,0
"48","2s",0,0,0,0,0,0,0,0,1,0,0
"49","3",0,0,0,25,687,1348,43,206,262,25,20
"50","3»",0,0,0,0,0,0,0,2,0,2,0
"51","31",0,0,0,0,0,0,0,4,7,0,0
"52","31»",0,0,0,0,0,0,0,4,4,2,0
"53","310",0,0,0,0,0,0,0,2,0,0,0
"54","312",0,0,0,0,0,0,0,12,5,0,0
"55","37",0,0,0,0,0,0,0,6,0,0,2
"56","375",0,0,0,0,0,0,0,3,0,0,0
"57","380",0,0,0,0,0,0,0,2,0,0,0
"58","3a",0,0,0,0,0,0,0,0,2,0,0
"59","3i",0,0,0,0,0,0,0,2,2,0,0
"60","3i2",0,0,0,0,0,0,0,6,0,0,0
"61","3i3",0,0,0,0,0,0,0,3,0,0,0
"62","3is",0,0,0,0,0,0,0,2,0,0,0
"63","3j",0,0,0,0,0,0,0,2,2,0,0
"64","3pc",0,0,0,0,0,2,0,0,0,0,0
"65","3s",0,0,0,0,0,0,0,2,0,0,0
"66","3t",0,0,0,0,0,0,0,0,2,0,0
"67","3v",0,0,0,0,0,0,0,7,2,0,0
"68","3vj",0,0,0,0,0,0,0,0,2,0,0
"69","3vs",0,0,0,0,0,0,0,2,0,0,0
"70","3vt",0,0,0,0,0,0,0,0,2,0,0
"71","3y",0,0,0,0,0,0,0,2,0,0,0
"72","3y2",0,0,0,0,0,0,0,0,0,2,0
"73","3y3",0,0,0,0,0,0,0,3,0,0,0
"74","3ys",0,0,0,0,0,0,0,2,0,0,0
"75","4",0,0,0,2,0,0,0,195,183,13,47
