ngram,rs
1»,18
31»,10
3v,9
4—,8
6,414
aaken,7
aanbiedingen,12
aanbod,10
aandeelen,76
aandeelhouders,22
aangeboden,12
aangelegenheden,4632
aangelegenheid,6
aankoopen,836
aannemers,99
aansluitingen,11
aanvoeren,199
academie,12
adviseurs,6
afdeeling,18
afdeelingen,33
afgevaardigden,130
afkomst,32
afladers,7
afnemers,46
afrekeningen,73
agenten,62
agenturen,6
aken,202
algemeen,75
ambassadeurs,8
ambtenaren,15
anarchisten,68
arbeiders,62
arbitrage,59
archieven,15
architecten,24
artikelen,186
artisten,37
artsen,34
assurantiemaatschappijen,8
auteurs,28
autoriteiten,18
avonturen,6
a°,18
b,21
badplaats,8
bajonetten,7
banen,11
bank,119
bankbiljetten,652
bankdisconto,26
banken,123
bankiers,70
bankiershuizen,7
bankinstellingen,10
banknoten,8
bankvereeniging,692
bank•,105
basterdsuiker,54
beetwortelsuiker,7
behoefte,12
belangen,100
belanghebbenden,24
belangstelling,30
beleggingsfondsen,6
beleggingswaarden,10
beleid,64
belichten,6
belrekkingen,12
berchten,9
berghten,8
bergten,12
berichen,6
berichten,18063
bericten,17
berigen,6
berigeten,7
berigien,21
beriglen,6
berigten,36702
berigtten,11
berioten,7
beriten,6
berusberigten,6
beruzen,21
bescherming,6
bestond,28
betaalmiddelen,7
betrekkingen,1953
betrof,9
beubzen,9
beuezen,21
beurigten,7
beursberichten,7
beursberigten,2823
beursen,13
beursnoteeringen,49
beursnoteringen,6
beurt,10
beurzen,8268
beuszen,6
beuuzen,7
bevigten,24
bezittingen,224
bezoekers,21
bieren,26
biersoorten,6
bijbelgenootschap,18
biljetten,8
binnenlandsche,98
birigten,6
bisschoppen,13
bladen,6472
boeken,20
bogge,21
bonden,30
boter,47
brandewijn,9
brichten,13
briefkaarten,22
briefwisseling,26
brieven,100
brievenmalen,11
britsche,8
brooden,56
buersberigten,63
buizen,6
bv,9
bvi,17
centra,13
cijdingen,7
circulatiebank,10
clubs,8
collegas,109
combinatie,10
comités,47
commissarissen,129
commissie,18
commissien,25
commissiën,6
componisten,9
concessies,8
concurrenten,88
concurrentie,542
conferentiën,6
congresleden,10
congressen,7
connecties,10
consulaten,7
consuls,183
consumenten,8
correspondenten,186
correspondentie,36
correspondenties,6
correspondentiën,7
coupons,77
couranten,60
crediteuren,45
crisis,6
crushed,10
daalden,33
dagbladen,2079
dagbladpers,51
dames,17
debiteuren,14
deelnemers,24
deskundigen,25
dienst,76
diplomaten,57
diplomatie,36
diplomatieke,8
discontos,24
dito,759
druiven,9
drukpers,29
drukwerken,6
effecten,4370
effekten,706
eflecten,21
eieren,82
eijdingen,25
emissies,6
eogge,47
eskaders,8
expeditie,6
f,1123
f6—,16
f7—,9
f9—,24
fabricaten,10
fabriek,34
fabriekant,6
fabriekanten,19
fabrieken,125
fabrijken,21
fabrikaat,19
fabrikant,35
fabrikanten,203
fabrikaten,68
ferm,11
ffecten,8
filialen,32
financiers,8
firma,113
firmas,220
flaauw,29
flauw,19
fokhengsten,10
fondfen,13
fondsen,6802
fondsenhouders,50
fondsenmarkt,351
fondson,6
fr,1486
f——,20
garst,6
gasten,101
geassocieerden,12
gebeurtenissen,40
geconsolideerde,14
gedelegeerden,84
gedistilleerd,18
gedrukt,7
geestelijke,22
geestelijken,19
geldleening,18
geldleeningen,24
geleerde,13
geleerden,228
gelukzoekers,10
gemeentebesturen,6
gemeenten,10
geneesheeren,24
geneeskundigen,37
genootschappen,42
genoteerde,8
gerst,38
geschriften,13
gestichten,17
getuigen,12
getuigschriften,20
gevaren,12
gezanten,791
gezantschappen,56
gezellen,6
gezelschappen,7
geïllustreerde,6
ging,170
goederen,161
gouden,8
gouvernementen,121
graanhandel,16
graanmarkten,11
graansoorten,7
granen,5757
granon,9
grenzen,25
grondstoffen,6
groote,10
gunstig,9
h,10
handel,1175
handelaars,23
handelaren,49
handelsberichten,341
handelsbeweging,16
handelscijfers,209
handelshuizen,38
handelsreizigers,23
handelsvaartuigen,6
handelsverkeer,14
harde,7
haring,9
haven,91
havens,18894
havent,7
haver,34
haves,8
havexs,12
hayexs,11
hebben,15
heeren,8
hengsten,30
herkomst,15
heurzen,7
hield,15
honig,157
honing,65
hoofdmarkten,9
hoofdsteden,7
hooger,22
hoogescholen,61
hoogeschool,62
hoogleeraren,28
houders,147
houthandel,8
huizen,958
hulp,56
huurlingen,6
hypotheekbanken,7
i,66
ii,11
ij,95
illustraties,10
importeur,10
importeurs,20
industrie,100
industrieelen,9
industriëlen,7
inkoopen,9
inmenging,65
inrichting,74
inrichtingen,26
inrigtingen,9
inschrijvers,20
instellingen,67
instituten,6
interventie,26
invloed,12
invloeden,49
inzenders,41
inzendingen,34
inzonderheid,7
ir,9
israëlieten,22
iste,8
j,34
joden,29
journalen,7
journalisten,617
juryleden,10
kaas,6
kabinetten,23
kalm,39
kamers,10
kandij,50
kantoren,75
kapitaal,21
kapitalen,15
kapitalisten,68
kardinalen,26
katholieke,13
katoenen,9
ken,6
kerken,51
kerkgenootschappen,12
kliekten,6
kloosterorden,9
koersen,486
kogge,35
kolen,9
kolonies,12
koloniën,8
koopers,71
kooplieden,1891
kooplui,21
kooplust,12
kooporders,158
koopwaren,21
kreniek,38
krijgsdienst,23
krijgsmagt,22
krijgsvolk,21
kromek,6
kroniek,8579
kuiperijen,6
kunnen,7
kunst,21
kunstenaars,142
kunsttentoonstellingen,31
kwam,20
kwestie,23
kwesties,8
kwestiën,8
landbouwscheikundigen,12
leden,814
leening,353
leeningen,311
legaties,7
legatiën,8
legers,24
letterkunde,17
lettervruchten,18
leveranciers,18
leverde,185
leverden,15
lid,8
lijbingen,10
lijdingen,152
lijnen,46
likeuren,188
literatuur,9
loten,17
loterij,28
loterijen,208
lt,6
m,7
maatschappij,86
maatschappijen,640
macht,13
magt,18
mannenzangvereenigingen,7
manufacturen,9
markt,3161
marktberichten,243
markten,2985
mededingers,59
mededinging,232
meesters,39
meisjes,6
melasse,134
melis,70
meppel,238
merk,8
merken,615
mijninrigting,18
militaire,68
militairen,16
ministers,83
missies,11
missiën,54
moeijelijkheden,11
moeilijkheden,14
mogendheden,3829
mogendheid,761
munt,12
munten,16
natiën,28
nederzettingen,16
neiuwstijdingen,13
nieuwe,47
nieuws,819
nieuwsbladen,8
nieuwstijdingen,2661
nijverheid,41
noteeren,162
noteeringen,175
noteringen,96
oblig,20
obligatiehouders,20
obligatiën,13
offerten,91
offertes,6
officieren,252
omstandigheden,15
ondernemers,8
onderneming,8
ondernemingen,109
ongedroogde,6
onveranderd,91
oorlog,14
oorlogen,10
oorlogschepen,12
oorlogsschepen,79
oostenrijksche,9
openden,7
opening,15
oplichters,12
oranen,15
orde,10
orden,56
orders,189
ordeteekenen,12
organen,14
overheid,8
overzicht,805
overzigt,10
paarden,39
papieren,18
pariteit,11
parlementen,14
partijgenooten,9
paspoort,6
paspoorten,277
passieve,7
perpetueele,312
pers,3004
persvereeniging,15
plaatsen,34
ploegen,6
politick,11
politie,22
politiek,10854
politieke,57
portefeuille,84
portugal,14
portugeesche,7
positie,7
post,7
postadministratiën,8
postbesturen,13
posten,31
postkantoren,42
postpakketten,8
postwissels,13
postzegels,48
predikanten,9
pressie,26
pretendenten,7
prijshoudend,93
prijshoudende,28
prinsen,21
producent,17
producenten,9
product,14
producten,304
productie,10
produkten,17
professoren,16
prompt,12
propaganda,6
protectie,6
quaesties,10
quaestiën,12
rabbijnen,7
rassen,16
reclame,38
reederijen,7
regeering,33
regeeringen,369
regering,46
regeringen,394
reis,3740
reispassen,9
reize,24
reizen,129
rekening,2870
rekenlng,12
renners,7
rentesoorten,8
rerigten,10
revolutionairen,6
ridderorde,10
ridderorden,22
riet,38
rietsuiker,16
rijders,20
rijst,19
rivieren,7
riviervaart,6
rogge,1624
roggo,8
ronde,6
ruwe,901
s,35
saken,18
saldi,23
sanatoria,9
satires,6
schaarsch,9
scheepvaart,1063
schepen,255
schilders,19
schippers,31
scholen,10
schors,19
schrijvers,46
schuld,3767
schuldbrieven,162
schuldeischers,304
schulden,17
schuldkas,7
schutters,12
secties,6
sigaren,15
sigaretten,6
slaatsfondsen,6
sluiten,9
socialisten,12
soldaten,10
soorlen,12
soorten,4622
souvereinen,55
spaansche,27
spaanschen,6
spanje,99
spoorwegactien,6
spoorwegdiensten,6
spoorwegen,47
spoorwegfondsen,8
spoorwegmaatschappijen,9
spoorwegmarkt,48
spoorwegnet,6
spoorwegondernemingen,7
spoorwegwaarden,20
sporen,23
sprekers,9
staalsfondsen,11
staatefondsen,6
staatfondsen,6
staatkunde,5060
staatkundige,53
staats,32
staatsfinancien,7
staatsfinanciën,683
staatsfinanclën,15
staatsfinanolën,6
staatsflnanciën,6
staatsfonden,8
staatsfondsen,4805
staatsfondsenmarkt,664
staatsfondseu,10
staatsfondson,7
staatsfonsen,6
staatsfonsenmarkt,6
staatsfoudsen,11
staatshoofden,11
staatsleeningen,641
staatsleeuingen,8
staatsleningen,10
staatslieden,11
staatspapieren,44
staatsschuld,61
staatsschuldeischers,7
staatstinanciën,32
staatstondsen,13
stad,24
staten,195
stations,13
steden,140
steen,45
steenkolen,32
stegen,40
stelsels,6
stemming,11
stil,195
stoomschepen,9
stoomvaartlijnen,92
studenten,54
studiereis,10
suiker,2000
suikers,11
syndicaten,11
tabak,81
taken,59
tarieven,24
tarwe,413
technische,50
telegrammen,148
telegraphische,8
tentoonstelling,12
tentoonstellingen,97
tijbingen,22
tijdingen,1474
tijdschriften,225
toestand,58
toestanden,45
traag,26
treinen,11
troepen,325
tuinbouwvereenigingen,16
turners,13
tusschenkomst,114
uitgaven,6
uitgevers,24
uitgewekenen,16
uitgiften,27
universiteit,15
universiteiten,73
uranen,19
v,13
vaart,50
vaartuigen,45
vakbladen,9
vakgenooten,6
valt,7
varieerden,13
vast,225
vaster,37
vee,7
veiligheid,10
vennooten,49
vennootschappen,37
verbeterden,25
verbindingen,190
verdeeld,13
verdeelde,8
vereeniging,20
vereenigingen,147
verhoudingen,10
verkoopen,449
verkoopers,10
verkooporders,18
verlof,6
verloven,39
vertegenwoordigers,231
vertegenwoordiging,36
verwikkelingen,206
verzamelingen,9
verzekeringmaatschappijen,9
verzending,146
verzendingen,6
vijand,35
vijanden,297
visch,7
vlag,15
vlaggen,50
vleesch,14
vloeistoffen,6
vloot,8
vluchtelingen,19
voederartikelen,42
voer,146
voererwte,6
voererwtea,22
voererwtei,15
voererwten,1289
voererwteu,20
vogels,23
vond,22
vonnis,7
vonnissen,12
voorbeelden,17
voorkomende,44
voortbrengselen,32
vorderingen,7
vorstelijke,32
vorsten,206
voêrerwten,44
vraag,670
vraagstukken,62
vrede,6
vrienden,16
vrij,6
vrijwilligers,14
vrouw,6
vrouwen,6
vruchten,17
waarden,174
wareu,8
wedstrijden,25
werken,46
werklieden,64
werkplaatsen,8
werktuigen,6
werven,64
werving,6
wet,14
wetenschappelijke,25
wetgeving,120
wetgevingen,126
wetten,38
wijn,6
wijnen,11
willig,8
wisselkoersen,526
wisselportefeuille,141
wissels,557
witte,31
wol,11
yoererwten,6
z,27
za,38
zaen,6
zak,11
zake,15
zakea,21
zaken,202475
zakenbegrooting,14
zakenen,7
zakeo,7
zakeu,250
zakon,175
zalen,8
zaten,18
zeehaven,7
zeelieden,8
zeep,20
zeereizen,7
zeevaart,515
zeevarenden,20
zegels,6
zending,56
zendingen,295
zijde,16
zijdingen,26
zoete,18
zoken,29
zout,7
zéér,16
«aken,67
élèves,15
ƒ,387
ƒ34—,24
ƒ35—,9
ƒ36—,17
