,year,ttr
0,1815,0.11419221937218829
1,1816,0.11382264662802702
2,1817,0.13979270277976508
3,1818,0.13426315206085437
4,1819,0.12317332195002487
5,1820,0.11763425579033064
6,1821,0.11332471227264766
7,1822,0.09739983592146716
8,1823,0.08973976182651833
9,1824,0.09635403730248762
10,1825,0.09611144907605967
11,1826,0.08105186824773758
12,1827,0.06807044556954933
13,1828,0.06653111006218052
14,1829,0.06770760524512154
15,1830,0.05573342110935422
16,1831,0.05708379096690191
17,1832,0.05711059349198464
18,1833,0.06246486633430259
19,1834,0.0708875614937961
20,1835,0.07352178576266685
21,1836,0.0629744779253984
22,1837,0.05736272065000491
23,1838,0.060948320735795876
24,1839,0.052210747090731036
25,1840,0.058104601536746896
26,1841,0.058352714348495024
27,1842,0.05863452805919804
28,1843,0.05477483490726324
29,1844,0.04779703825494631
30,1845,0.0447683431566509
31,1846,0.05194775148358806
32,1847,0.043970798502638825
33,1848,0.04336704335172973
34,1849,0.03979776129256288
35,1850,0.04314296330989499
36,1851,0.04688157538926305
37,1852,0.04880697467933108
38,1853,0.04794585794808379
39,1854,0.041817034281129144
40,1855,0.045354587619061554
41,1856,0.04218813430408514
42,1857,0.040460345304992706
43,1858,0.03946518746579617
44,1859,0.03465660589732013
45,1860,0.03999495934390495
46,1861,0.03833286920478004
47,1862,0.033962412519143524
48,1863,0.03654358522150468
49,1864,0.037006281187414794
50,1865,0.03900885266090625
51,1866,0.036013586618147304
52,1867,0.03270848966507551
53,1868,0.035301674545730063
54,1869,0.034212212932921794
55,1870,0.03818611239161867
56,1871,0.03922574582584304
57,1872,0.04066045212492492
58,1873,0.05156139121930304
59,1874,0.046511104545554516
60,1875,0.04124788206764143
61,1876,0.04313151373545829
62,1877,0.04047631016197927
63,1878,0.041218103267698224
64,1879,0.042821552973632
65,1880,0.04272659613838047
66,1881,0.0421297795778643
67,1882,0.03658095178300319
68,1883,0.03802075658947935
69,1884,0.03919321358983155
70,1885,0.041149977201689225
71,1886,0.038883735961724536
72,1887,0.0384332701137214
73,1888,0.04089796578692138
74,1889,0.03684779051914518
75,1890,0.0365079325105969
76,1891,0.04243011999716885
77,1892,0.04214956133817637
78,1893,0.0384381772521201
79,1894,0.035922420450209984
80,1895,0.03616708177744295
81,1896,0.03623284968637283
82,1897,0.03702086677535738
83,1898,0.03601604054144961
84,1899,0.03947672129809591
85,1900,0.038621544526640295
86,1901,0.0393201067232576
87,1902,0.03636945296278564
88,1903,0.04106247414380189
89,1904,0.043918082765746866
90,1905,0.03970286580230954
91,1906,0.04098098437950189
92,1907,0.04188064393668227
93,1908,0.04170486405128373
94,1909,0.04310426633653747
95,1910,0.05992692994803727
96,1911,0.05764054039044728
97,1912,0.06082160548294339
98,1913,0.06411027692891622
