npp,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
algh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819208.0,1230552.0,1610551.0,1725572.0,2842504.0,2730964.0,2790436.0,2581134.0,2517444.0,2340810.0,3112551.0,2273242.0,2339016.0,2547131.0,2887958.0,2889559.0,3254615.0,3229720.0,3434055.0,3611851.0,3685171.0,3719132.0,3796137.0,3704842.0,3739256.0,3938585.0,3993054.0,4022170.0,3952050.0,4561010.0,4859556.0,5600862.0,5577497.0,5321416.0,5743997.0,5500834.0,4892813.0,5021463.0,5589969.0,5258991.0,5255089.0,5248293.0,6371157.0,7826389.0,7308575.0,6203373.0,8312350.0,8670177.0,8450770.0,8552687.0,4251264.0,11578722.0,9848997.0,9591857.0,12283396.0,13455232.0,10158855.0,6278274.0,6020727.0,11932155.0,8830285.0,12261873.0,11168377.0,12707681.0,13647770.0,12390306.0,14862643.0,16361977.0,16984064.0,16281482.0,16643730.0,17554425.0,17800516.0,19181083.0,20817934.0,22507228.0,21077085.0,22349225.0,22821624.0,17495878.0,23477403.0,18468759.0,24338505.0,25037528.0,32302109.0,25473987.0,19737094.0
arnc,555411.0,359542.0,331262.0,261463.0,342410.0,452536.0,601215.0,651251.0,558489.0,516480.0,543932.0,583019.0,608153.0,592292.0,748653.0,784555.0,930381.0,689544.0,670351.0,691856.0,661520.0,708880.0,711698.0,781253.0,1086363.0,1644755.0,1609747.0,1709904.0,1719449.0,1642601.0,1870415.0,1781588.0,1636065.0,2588974.0,1861399.0,1884089.0,0.0,1898781.0,1918749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2305667.0,0.0,0.0,0.0,2305827.0,2265643.0,2379505.0,2400881.0,2824471.0,3127283.0,3050928.0,2997610.0,3135232.0,3105121.0,3158967.0,3131719.0,2071022.0,2073478.0,3159042.0,3127715.0,1047355.0,1050496.0,3060884.0,1049603.0,0.0,0.0,0.0,974487.0,2958183.0,3139560.0,3354467.0,2250277.0,2222819.0,2304256.0,3514809.0,2364213.0,2373222.0,1456633.0,4823626.0,4506464.0,4876233.0,4638474.0,0.0,4878492.0,5187888.0,5220804.0,5480989.0,5968202.0,5670192.0,6407537.0,6679564.0,6062909.0,5553482.0,5161531.0
brdc,114988.0,96999.0,94575.0,120330.0,108299.0,118957.0,121140.0,135890.0,142071.0,117319.0,141277.0,139762.0,147655.0,146671.0,241421.0,674040.0,1080227.0,1394585.0,1390583.0,1301709.0,1290910.0,1338089.0,1258006.0,1357167.0,1281228.0,696084.0,737572.0,746011.0,714850.0,741761.0,680289.0,729030.0,463721.0,649755.0,581591.0,559617.0,559080.0,535098.0,509392.0,512892.0,522429.0,513426.0,497955.0,473384.0,488878.0,493489.0,439240.0,459218.0,439991.0,465861.0,458108.0,470647.0,460348.0,486863.0,452187.0,421590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452859.0
delc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359836.0,348413.0,355560.0,356328.0,361202.0,384240.0,336633.0,334238.0,325217.0,0.0,360926.0,689897.0,550298.0,662760.0,971445.0,937780.0,886978.0,797022.0,866169.0,899211.0,867542.0,879733.0,889271.0,948311.0,1225305.0,1228656.0,1243052.0,1253356.0,1247253.0,1329892.0,1320367.0,1454536.0,1488629.0,1454135.0,1442888.0,1427172.0,1452457.0,1401336.0,1337165.0,1388342.0,1406050.0,1333515.0,1815680.0,2364602.0,2740186.0,2890030.0,1457463.0,2972541.0,2966308.0,2913820.0,2855832.0,2815203.0,2816582.0,2968010.0,3149604.0,3837751.0,4229985.0,3949512.0,3705035.0
dzhg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711950.0,794479.0,747947.0,841888.0,440036.0,852645.0,751215.0,651435.0,618005.0,626872.0,642605.0,612821.0,654569.0,661497.0,669588.0,682554.0,705366.0,749187.0,783745.0,786703.0,829381.0,1071672.0,1006258.0,937990.0,1025941.0,876150.0,1085761.0,782414.0,706697.0,2465553.0,2292584.0,2268686.0,2571322.0,2614033.0,3105008.0,4589964.0,4141662.0,4536479.0,5032815.0,4922819.0,4894067.0,4918126.0,5918329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hagc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438240.0,2266537.0,1957150.0,3688483.0,3904035.0,4075103.0,4705373.0,4692691.0,4677975.0,4775948.0,4827055.0,5077257.0,5537151.0,5749165.0,6280683.0,6543007.0,6868285.0,6894675.0,6898774.0,7046763.0,7071000.0,7067127.0,7421162.0,5721161.0,7622072.0,7856365.0,7938425.0,8146496.0,8084055.0,8243671.0,8147666.0,7888301.0
leco,683795.0,489231.0,335393.0,360881.0,328812.0,312527.0,292283.0,274936.0,268416.0,218889.0,269987.0,222111.0,259637.0,282610.0,338275.0,636605.0,667470.0,641041.0,598250.0,618395.0,577553.0,538276.0,441573.0,465490.0,453777.0,493429.0,448854.0,427197.0,484394.0,527979.0,513390.0,457272.0,459465.0,409636.0,403617.0,394026.0,387705.0,369841.0,340922.0,370489.0,407620.0,438243.0,375245.0,356522.0,385341.0,391333.0,407055.0,464053.0,544592.0,539272.0,528087.0,538504.0,553474.0,505824.0,708941.0,937547.0,956496.0,1079952.0,1044877.0,1097352.0,1188680.0,353138.0,897580.0,1413624.0,2891326.0,2952523.0,3130158.0,3417419.0,3506085.0,3296452.0,3176673.0,3065717.0,3352751.0,3927463.0,4260914.0,4244031.0,4316239.0,4120217.0,4505317.0,4582938.0,4739684.0,4997283.0,4751496.0,4670565.0,4643886.0,4727595.0,4935038.0,5344365.0,5577996.0,5520758.0,5706306.0,5912016.0,5971614.0,6032667.0,6231434.0,6853230.0,6923054.0,7219699.0,7358822.0,5918192.0
leyc,694931.0,612094.0,594792.0,630813.0,611347.0,610163.0,634195.0,595160.0,628340.0,695034.0,680878.0,686667.0,0.0,717774.0,693991.0,740349.0,713126.0,638440.0,618560.0,667708.0,615044.0,655368.0,681619.0,736097.0,704484.0,837840.0,785251.0,768268.0,774544.0,801939.0,806699.0,797492.0,773628.0,782111.0,764407.0,721462.0,728185.0,751562.0,836766.0,829010.0,845868.0,891488.0,848351.0,787680.0,834831.0,807627.0,838992.0,717792.0,761144.0,730073.0,711241.0,90175.0,735927.0,706109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mico,579115.0,336177.0,0.0,435901.0,118202.0,446794.0,456247.0,440029.0,425180.0,459463.0,401086.0,354540.0,377303.0,353819.0,349272.0,394594.0,450955.0,404786.0,388190.0,399156.0,526947.0,498004.0,479235.0,121419.0,526938.0,522033.0,504590.0,507255.0,512742.0,523920.0,0.0,0.0,0.0,420418.0,599656.0,578485.0,591323.0,612464.0,307854.0,0.0,926567.0,916960.0,990810.0,997587.0,1028624.0,1105329.0,1361561.0,1438155.0,1233516.0,1329145.0,1451919.0,1468885.0,1387964.0,1434884.0,1702226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3624026.0,3576163.0,3791244.0,3676278.0,3643019.0,3345263.0,3580625.0,3493285.0,0.0,0.0,1868496.0,3659701.0,3667571.0,3774016.0,3655269.0,3572200.0,3717562.0,4741743.0,4503906.0,3208546.0
nesc,1688165.0,1662234.0,1451235.0,1522033.0,1616203.0,1351330.0,1334312.0,1612259.0,1473308.0,1605822.0,1938517.0,1916314.0,1902904.0,1321025.0,1444409.0,1576512.0,1941794.0,2110425.0,1796457.0,1596298.0,1631347.0,1771812.0,1540791.0,1281834.0,1316260.0,1658237.0,1741779.0,1818669.0,2202440.0,2262747.0,2527184.0,2128157.0,2531795.0,1478042.0,1194103.0,1285144.0,1538283.0,1832166.0,1607899.0,1558657.0,1438154.0,1474181.0,1414971.0,1312476.0,1795045.0,1871055.0,1965263.0,1988433.0,2144943.0,2172187.0,2362546.0,2329341.0,2215080.0,954227.0,1921484.0,3661338.0,3451555.0,3688229.0,3756480.0,3939421.0,3632333.0,3503095.0,3590018.0,3434883.0,3449338.0,3416318.0,3835339.0,3561556.0,3622120.0,3569136.0,3566740.0,3720439.0,3961065.0,4445894.0,3986276.0,4269457.0,4290725.0,4406679.0,4374491.0,4719763.0,4555004.0,5440079.0,5486117.0,5524663.0,5711253.0,5765360.0,6329080.0,6659928.0,7059870.0,3580379.0,4000344.0,3858487.0,4263928.0,3894782.0,4203382.0,4537213.0,4330613.0,4195778.0,4352950.0,4125159.0
