year,tokens,ngram
1815,5686482,0.0
1816,4802322,0.0
1817,4043759,0.0
1818,4465745,0.0
1819,4242469,0.0
1820,4442881,0.0
1821,4561697,0.0
1822,4909844,0.0
1823,4792725,0.0
1824,4911844,0.0
1825,5015313,0.0
1826,4874755,0.0
1827,5068367,0.0
1828,6160772,0.0
1829,7067596,0.0
1830,8731314,0.0
1831,9557319,0.0
1832,11082795,0.0
1833,10299950,0.0
1834,10049591,0.0
1835,9913837,0.0
1836,10033001,0.0
1837,9433775,0.0
1838,9803371,2.040114568753952e-05
1839,9686454,0.0
1840,10351607,1.9320671659965453e-05
1841,10483197,0.0
1842,11140910,3.5903709840578554e-05
1843,11859698,7.58872612101927e-05
1844,14738068,9.499209801447517e-05
1845,16802029,6.546828362217444e-05
1846,17332473,0.0001500074455618653
1847,19631870,0.00034637556177786425
1848,22267762,0.0005748220229765344
1849,20017533,0.00034469782065552236
1850,21534798,0.00019967682074380265
1851,19998816,0.00019501154468344525
1852,22052340,0.0007300812521482982
1853,23671951,0.0007265983272777137
1854,22516207,0.000484095744900551
1855,21871040,0.0009967518691383673
1856,25428951,0.0021117662305456487
1857,25861717,0.0012760173657456696
1858,26804383,0.002488399005491005
1859,30334592,0.0020834300326175474
1860,30527772,0.0020997274219684294
1861,33740652,0.0019946265413009804
1862,33623642,0.0027599627666747106
1863,32653419,0.003457524616334969
1864,32233555,0.00370111208645773
1865,35268379,0.005356072645130642
1866,35873239,0.003821790388094033
1867,36554210,0.00585158316921635
1868,33213127,0.004793285498230865
1869,40025619,0.008552022643297534
1870,28083482,0.004945967882472694
1871,30124526,0.012640862797310071
1872,32269046,0.014131189375725578
1873,31140626,0.00571600583751913
1874,35281768,0.006646492318638907
1875,35888776,0.006854510725024448
1876,34868913,0.005732900248424722
1877,36225807,0.005421549339121693
1878,37432557,0.005607418162750677
1879,48648656,0.005029943684364066
1880,47892652,0.005664752079296006
1881,46472828,0.0059669275990692884
1882,50426326,0.008812856998544769
1883,56288438,0.011839021008186441
1884,51166256,0.009865877229711707
1885,47753538,0.006803684367847258
1886,50709042,0.0058786360034173
1887,58863063,0.004811166554482563
1888,53616163,0.005498341983181452
1889,58907684,0.005225124790171686
1890,61945962,0.007243409990145927
1891,65626965,0.006252003273349605
1892,65454750,0.006798589865517781
1893,68486312,0.005925271607558603
1894,68952759,0.006613223409958113
1895,84136979,0.006004494171344089
1896,83988260,0.005488862371955319
1897,83997358,0.00704188815081541
1898,84227082,0.005787924601258298
1899,90473623,0.006900353708616267
1900,87485626,0.00730405701160554
1901,95242595,0.006097061929066506
1902,94003696,0.006561444137260306
1903,90498127,0.006928320185013332
1904,99142898,0.007943080300113883
1905,93720212,0.008074032098860382
1906,93693235,0.008383742967141651
1907,93507206,0.00873622509905814
1908,103219327,0.00846837530727167
1909,103472217,0.0073526983576663865
1910,136792841,0.008709520112971408
1911,138472470,0.009177275454102898
1912,149756060,0.00862669597477391
1913,140628218,0.010400473111306865
1914,133845074,0.00946766259025715
