year,tokens
1815,5686482
1816,4802322
1817,4043759
1818,4465745
1819,4242469
1820,4442881
1821,4561697
1822,4909844
1823,4792725
1824,4911844
1825,5015313
1826,4874755
1827,5068367
1828,6160772
1829,7067596
1830,8731314
1831,9557319
1832,11082795
1833,10299950
1834,10049591
1835,9913837
1836,10033001
1837,9433775
1838,9803371
1839,9686454
1840,10351607
1841,10483197
1842,11140910
1843,11859698
1844,14738068
1845,16802029
1846,17332473
1847,19631870
1848,22267762
1849,20017533
1850,21534798
1851,19998816
1852,22052340
1853,23671951
1854,22516207
1855,21871040
1856,25428951
1857,25861717
1858,26804383
1859,30334592
1860,30527772
1861,33740652
1862,33623642
1863,32653419
1864,32233555
1865,35268379
1866,35873239
1867,36554210
1868,33213127
1869,40025619
1870,28083482
1871,30124526
1872,32269046
1873,31140626
1874,35281768
1875,35888776
1876,34868913
1877,36225807
1878,37432557
1879,48648656
1880,47892652
1881,46472828
1882,50426326
1883,56288438
1884,51166256
1885,47753538
1886,50709042
1887,58863063
1888,53616163
1889,58907684
1890,61945962
1891,65626965
1892,65454750
1893,68486312
1894,68952759
1895,84136979
1896,83988260
1897,83997358
1898,84227082
1899,90473623
1900,87485626
1901,95242595
1902,94003696
1903,90498127
1904,99142898
1905,93720212
1906,93693235
1907,93507206
1908,103219327
1909,103472217
1910,136792841
1911,138472470
1912,149756060
1913,140628218
1914,133845074
