,pmi,w1,w2,year
0,1.66242470076007,buitenland,natie,1815
0,1.0663729354851759,buitenland,vaderland,1815
0,1.0255675015061196,buitenland,nederland,1815
0,0.8108081456467601,buitenland,holland,1815
0,1.6240731749713757,buitenland,geschiedenis,1815
0,1.3168852509691227,buitenland,nationale,1815
0,1.6587891138457325,buitenlandsche,natie,1815
0,1.0536258778695393,buitenlandsche,vaderland,1815
0,0.9815806190682147,buitenlandsche,nederland,1815
0,0.7666947529929865,buitenlandsche,holland,1815
0,1.668497249877524,buitenlandsche,geschiedenis,1815
0,1.2459542794924487,buitenlandsche,nationale,1815
0,1.631910768286159,buitenland,natie,1816
0,1.3101690910311583,buitenland,vaderland,1816
0,1.1665068624059984,buitenland,nederland,1816
0,0.7854511309153438,buitenland,holland,1816
0,1.4271163556401456,buitenland,geschiedenis,1816
0,0.9779673086704224,buitenland,nationale,1816
0,1.6184476873289337,buitenlandsche,natie,1816
0,1.2693561771423707,buitenlandsche,vaderland,1816
0,1.085988269302048,buitenlandsche,nederland,1816
0,0.7193955998389481,buitenlandsche,holland,1816
0,1.339783426116465,buitenlandsche,geschiedenis,1816
0,0.9085416190025735,buitenlandsche,nationale,1816
0,1.7283083429955615,buitenland,natie,1817
0,1.120523286955921,buitenland,vaderland,1817
0,0.7694716005715508,buitenland,nederland,1817
0,0.8453170251904557,buitenland,holland,1817
0,1.414762759953861,buitenland,geschiedenis,1817
0,1.2869154366752404,buitenland,nationale,1817
0,1.785245934735307,buitenlandsche,natie,1817
0,1.0376989363205078,buitenlandsche,vaderland,1817
0,0.5919599290744034,buitenlandsche,nederland,1817
0,0.8033146690752974,buitenlandsche,holland,1817
0,1.532609104780599,buitenlandsche,geschiedenis,1817
0,1.2727195924289236,buitenlandsche,nationale,1817
0,1.546908386633513,buitenland,natie,1818
0,1.0109620563442392,buitenland,vaderland,1818
0,0.7363137001233881,buitenland,nederland,1818
0,0.8176237901127041,buitenland,holland,1818
0,1.0791195977173302,buitenland,geschiedenis,1818
0,1.0557330308820485,buitenland,nationale,1818
0,1.56888875294102,buitenlandsche,natie,1818
0,0.9662634742951919,buitenlandsche,vaderland,1818
0,0.6106580676248305,buitenlandsche,nederland,1818
0,0.8378115058056914,buitenlandsche,holland,1818
0,1.1274172723422107,buitenlandsche,geschiedenis,1818
0,0.9646951114648114,buitenlandsche,nationale,1818
0,1.6563577187710392,buitenland,natie,1819
0,1.0561469049392433,buitenland,vaderland,1819
0,0.9225101685997701,buitenland,nederland,1819
0,0.9765356882348144,buitenland,holland,1819
0,1.5703590000957959,buitenland,geschiedenis,1819
0,1.337449999357605,buitenland,nationale,1819
0,1.5969605152499422,buitenlandsche,natie,1819
0,0.9239198498833194,buitenlandsche,vaderland,1819
0,0.7965922827371109,buitenlandsche,nederland,1819
0,0.8018276382027232,buitenlandsche,holland,1819
0,1.620897551574693,buitenlandsche,geschiedenis,1819
0,1.2962733419500363,buitenlandsche,nationale,1819
0,1.7098360396630135,buitenland,natie,1820
0,0.9590554896625387,buitenland,vaderland,1820
0,0.4249804724105116,buitenland,nederland,1820
0,0.9468329425360849,buitenland,holland,1820
0,1.7043512942206593,buitenland,geschiedenis,1820
0,1.247706560380935,buitenland,nationale,1820
0,1.721328522651301,buitenlandsche,natie,1820
0,0.8938141784194371,buitenlandsche,vaderland,1820
0,0.30827876844209884,buitenlandsche,nederland,1820
0,0.950090553646651,buitenlandsche,holland,1820
0,1.724850711765732,buitenlandsche,geschiedenis,1820
0,1.2587272339714635,buitenlandsche,nationale,1820
0,1.6483273520647783,buitenland,natie,1821
0,0.9831534995965358,buitenland,vaderland,1821
0,0.6454252443885966,buitenland,nederland,1821
0,0.6969959919863015,buitenland,holland,1821
0,1.5544204775160273,buitenland,geschiedenis,1821
0,1.217764104264915,buitenland,nationale,1821
0,1.6054758726840994,buitenlandsche,natie,1821
0,0.9488993582388004,buitenlandsche,vaderland,1821
0,0.5201993248251346,buitenlandsche,nederland,1821
0,0.6064134638951533,buitenlandsche,holland,1821
0,1.5179900567356965,buitenlandsche,geschiedenis,1821
0,1.154610613343831,buitenlandsche,nationale,1821
0,1.528663980664764,buitenland,natie,1822
0,0.876157125081473,buitenland,vaderland,1822
0,0.44810538276053896,buitenland,nederland,1822
0,0.7144660687039052,buitenland,holland,1822
0,1.2077681562124247,buitenland,geschiedenis,1822
0,1.4354702037668166,buitenland,nationale,1822
0,1.5181597512173726,buitenlandsche,natie,1822
0,0.8717319417104638,buitenlandsche,vaderland,1822
0,0.2703690218231959,buitenlandsche,nederland,1822
0,0.7551073030576467,buitenlandsche,holland,1822
0,1.2639210927628899,buitenlandsche,geschiedenis,1822
0,1.326165389575332,buitenlandsche,nationale,1822
0,1.6137739512212506,buitenland,natie,1823
