"X1815" "X1816" "X1817" "X1818" "X1819" "X1820" "X1821" "X1822" "X1823" "X1824" "X1825" "X1826" "X1827" "X1828" "X1829" "X1830" "X1831" "X1832" "X1833" "X1834" "X1835" "X1836" "X1837" "X1838" "X1839" "X1840" "X1841" "X1842" "X1843" "X1844" "X1845" "X1846" "X1847" "X1848" "X1849" "X1850" "X1851" "X1852" "X1853" "X1854" "X1855" "X1856" "X1857" "X1858" "X1859" "X1860" "X1861" "X1862" "X1863" "X1864" "X1865" "X1866" "X1867" "X1868" "X1869" "X1870" "X1871" "X1872" "X1873" "X1874" "X1875" "X1876" "X1877" "X1878" "X1879" "X1880" "X1881" "X1882" "X1883" "X1884" "X1885" "X1886" "X1887" "X1888" "X1889" "X1890" "X1891" "X1892" "X1893" "X1894" "X1895" "X1896" "X1897" "X1898" "X1899" "X1900" "X1901" "X1902" "X1903" "X1904" "X1905" "X1906" "X1907" "X1908" "X1909" "X1910" "X1911" "X1912" "X1913" "X1914"
"zaken" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken"
"berigten" "zaken" "zaken" "zaken" "zaken" "zaken" "zaken" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "berigten" "effecten" "effecten" "effecten" "effecten" "effecten" "havens" "havens" "havens" "effecten" "effecten" "effecten" "effecten" "markt" "berichten" "berichten" "berichten" "berichten" "berichten" "havens" "havens" "havens" "havens" "havens" "havens" "havens" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "havens" "havens" "havens" "havens" "havens"
"effecten" "paspoorten" "effekten" "effekten" "scheepvaart" "effekten" "scheepvaart" "effekten" "effekten" "effecten" "effecten" "effekten" "effekten" "effekten" "effekten" "effekten" "effekten" "effekten" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "effecten" "effecten" "effecten" "fondsen" "fondsen" "fondsen" "fondsen" "fondsen" "dagbladen" "dagbladen" "nieuwstijdingen" "3" "beursberigten" "beursberigten" "3" "3" "3" "beursberigten" "beursberigten" "beursberigten" "3" "3" "3" "fondsen" "3" "3" "nieuwstijdingen" "effecten" "effecten" "effecten" "effecten" "berigten" "berigten" "soorten" "soorten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "effecten" "markt" "staatsfondsen" "granen" "staatsfondsen" "staatsfondsen" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "berichten" "havens" "havens" "havens" "havens" "havens" "havens" "havens" "havens" "havens" "havens" "berichten" "berichten" "berichten" "berichten" "berichten"
NA "effekten" NA "betrekkingen" "effekten" NA "effekten" "aangelegenheden" "scheepvaart" "scheepvaart" "scheepvaart" "scheepvaart" "scheepvaart" "aangelegenheden" "betrekkingen" "aangelegenheden" "aangelegenheden" "aangelegenheden" "aangelegenheden" "schuld" "schuld" "schuld" "effecten" "aangelegenheden" "effecten" "effecten" "effecten" "effecten" "effecten" "fondsen" "fondsen" "schuld" "schuld" "effecten" "tijdingen" "lijdingen" "dagbladen" "correspondentie" "correspondentie" "1" "tijdingen" "tijdingen" "fondsen" "beursberigten" "beursberigten" "beursberigten" "aangelegenheden" "aangelegenheden" "aangelegenheden" "nieuwstijdingen" "nieuwstijdingen" "fondsen" "3" "fondsen" "nieuwstijdingen" "a" "aangelegenheden" "schuld" "politiek" "fondsen" "fondsen" "schuld" "fondsen" "politiek" "havens" "politiek" "politiek" "effecten" "staatsfondsen" "staatsfondsen" "markt" "markt" "schuld" "politiek" "granen" "politiek" "granen" "schuld" "staatsfondsen" "staatsfondsen" "granen" "granen" "staatsfondsen" "pers" "granen" "schuld" "kroniek" "schuld" "schuld" "kroniek" "kroniek" "politiek" "granen" "politiek" "politiek" "politiek" "politiek" "politiek" "politiek" "politiek"
NA "negotiatien" NA "zeep" "bieren" NA "handel" "en" "effecten" "granen" "berigtén" "en" "aangelegenheden" "fondsen" "dagbladen" "schuld" "staatkunde" "fondsen" "rekening" "effecten" "aangelegenheden" "scheepvaart" "aangelegenheden" "effecten" "aangelegenheden" "aangelegenheden" "aangelegenheden" "scheepvaart" "scheepvaart" "scheepvaart" "schuld" "fondsen" "3" "aangelegenheden" "aangelegenheden" "aangelegenheden" "tijdingen" "fondsen" "fondsen" "aangelegenheden" "nieuwstijdingen" "fondsen" "tijdingen" "tijdingen" "fondsen" "tijdingen" "nieuwstijdingen" "nieuwstijdingen" "nieuwstijdingen" "fondsen" "politiek" "nieuwstijdingen" "politiek" "nieuwstijdingen" "aangelegenheden" "aangelegenheden" "schuld" "aangelegenheden" "schuld" "politiek" "schuld" "fondsen" "politiek" "fondsen" "politiek" "staatkunde" "staatkunde" "staatsfondsen" "schuld" "markt" "staatsfondsen" "staatsfondsen" "politiek" "effecten" "markt" "staatsfondsen" "effecten" "granen" "schuld" "granen" "politiek" "politiek" "granen" "granen" "aangelegenheden" "granen" "schuld" "granen" "politiek" "granen" "politiek" "granen" "politiek" "kroniek" "granen" "granen" "granen" "leeningen" "leeningen" "fr"
NA "bieren" NA NA "steenkolen" NA "aangelegenheden" NA "aangelegenheden" NA "aangelegenheden" "paspoorten" NA "scheepvaart" "aangelegenheden" "fondsen" "scheepvaart" "staatkunde" "effecten" "aangelegenheden" "granen" "rekening" "reis" "scheepvaart" "staatkunde" "scheepvaart" "scheepvaart" "aangelegenheden" "aangelegenheden" "staatkunde" "staatkunde" "aangelegenheden" "effecten" "tijdingen" "lijdingen" "tijdingen" "schuld" "tijdingen" "aangelegenheden" "fondsen" "fondsen" "reis" "nieuwstijdingen" "fondsen" "tijdingen" "beurzen" "tijdingen" "fondsen" "fondsen" "politiek" "fondsen" "politiek" "aangelegenheden" "aangelegenheden" "politiek" "schuld" "politiek" "fondsen" "aangelegenheden" "schuld" "rekening" "bladen" "staatkunde" "staatsfondsen" "staatkunde" "waarden" "bladen" "schuld" "politiek" "politiek" "politiek" "schuld" "granen" "staatkunde" "politiek" "markt" "politiek" "politiek" "granen" "fondsen" "fondsen" "staatsfondsen" "politiek" "politiek" "politiek" "politiek" "granen" "politiek" "granen" "politiek" "granen" "suiker" "suiker" "granen" "suiker" "suiker" "suiker" "granen" "rekening" "granen"
NA "zeep" NA NA "potasch" NA NA NA "dagbladen" NA NA NA NA "en" "belangen" "staatkunde" "belangen" "betrekkingen" "staatkunde" "staatkunde" "scheepvaart" "effecten" "schuld" "staatkunde" "scheepvaart" "schuld" "staatkunde" "staatkunde" "paspoorten" "handel" "markten" "staatkunde" "aangelegenheden" "schuld" "staatkunde" "schuld" "aangelegenheden" "3" "nieuwstijdingen" "politiek" "aangelegenheden" "nieuwstijdingen" "3" "reis" "aangelegenheden" "nieuwstijdingen" "fondsen" "politiek" "politiek" "aangelegenheden" "aangelegenheden" "aangelegenheden" "nieuwstijdingen" "politiek" "staatkunde" "politiek" "staatkunde" "politiek" "fondsen" "aangelegenheden" "politiek" "politiek" "aangelegenheden" "staatkunde" "fondsen" "fondsen" "aangelegenheden" "markt" "fondsen" "schuld" "schuld" "politiek" "staatsfondsen" "schuld" "effecten" "effecten" "fondsen" "effecten" "4" "politiek" "staatsfondsen" "aangelegenheden" "schuld" "staatsfondsen" "schuld" "rekening" "politiek" "markten" "markten" "schuld" "suiker" "markten" "markten" "suiker" "aangelegenheden" "nieuws" "leeningen" "rekening" "suiker" "rekening"
NA "azijnen" NA NA "en" NA NA NA "en" NA NA NA NA NA NA "handel" "paspoorten" "effecten" "effekten" "scheepvaart" "staatkunde" "aangelegenheden" "suiker" "betrekkingen" "schuld" "handel" "brichten" "en" "suiker" "aangelegenheden" "scheepvaart" "en" "reis" "3" "zijdingen" "eijdingen" "lijdingen" "aangelegenheden" "lijdingen" "dagbladen" "staatkunde" "aangelegenheden" "aangelegenheden" "nieuwstijdingen" "nieuwstijdingen" "fondsen" "dagbladen" "staatkunde" "staatkunde" "staatkunde" "staatkunde" "staatkunde" "staatkunde" "staatkunde" "fondsen" "effecten" "fondsen" "spanje" "staatkunde" "granen" "bladen" "markten" "schuld" "aangelegenheden" "markt" "aangelegenheden" "schuld" "politiek" "havens" "staatkunde" "granen" "aangelegenheden" "staatkunde" "granen" "schuld" "staatkunde" "markt" "staatkunde" "effecten" "schuld" "schuld" "fondsen" "pers" "schuld" "rekening" "piaster" "bladen" "rekening" "rekening" "rekening" "schuld" "schuld" "rekening" "aangelegenheden" "staatkunde" "leeningen" "rekening" "suiker" "granen" "leeningen"
NA "effecten" NA NA "schepen" NA NA NA NA NA NA NA NA NA NA "en" "en" "scheepvaart" "scheepvaart" "en" "effecten" "staatkunde" "en" "effekten" "en" "belangen" "berichten" "zakeu" "dagbladen" "bevigten" "aangelegenheden" "berichten" "staatkunde" "staatkunde" "schuld" "lijbingen" "zakeu" "scheepvaart" "1" "verzending" "dagbladen" "3" "dagbladen" "aangelegenheden" "politiek" "aangelegenheden" "politiek" "dagbladen" "en" "bladen" "op" "en" "bladen" "bladen" "schuld" "3" "rekening" "en" "en" "en" "markt" "vaartuigen" "markten" "rekening" "waarden" "bladen" "staatsfondsen" "aangelegenheden" "spanje" "aangelegenheden" "staatkunde" "staatkunde" "aangelegenheden" "staatsfondsen" "staatkunde" "schuld" "schuld" "markt" "politiek" "4" "waarden" "staatkunde" "staatkunde" "journalisten" "pers" "en" "rekening" "perpetueele" "perpetueele" "staatsfondsen" "rekening" "rekening" "aangelegenheden" "staatkunde" "nieuws" "rekening" "nieuws" "nieuws" "nieuws" "nieuws"
NA "waren" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "reis" "en" "commissien" "als" "en" "berichten" "als" "dagbladen" "aan" NA "schuld" "handel" "politiek" "3" "nieuws" "scheepvaart" "verzending" "zakeu" "zakeu" "en" "scheepvaart" "lijdingen" "staatkunde" "en" "schuld" "1" "staatkunde" "tarwe" "staatkunde" "staatkunde" "staatkunde" "bladen" "scheepvaart" "en" "en" "dagbladen" "dagbladen" "dagbladen" "en" "staatkunde" "en" "staatkunde" "markt" "markten" "aangelegenheden" "aangelegenheden" "rekening" "schuld" "aangelegenheden" "schuld" "rekening" "rekening" "aangelegenheden" "markten" "scheepvaart" "granen" "kooplieden" "aangelegenheden" "fondsen" "fondsen" "kooplieden" "kooplieden" "wissels" "kooplieden" "staatkunde" "schuld" "aangelegenheden" "staatkunde" "en" "markten" "markten" "aangelegenheden" "nieuws" "nieuws" "aangelegenheden" "staatkunde" "schuld" "pers" "rekening" "aangelegenheden" "markten" "markten" "en" "suiker"
