"count" "years" "id"
14 1815 "crea_s_"
30 1816 "crea_s_"
6 1817 "crea_s_"
4 1818 "crea_s_"
14 1819 "crea_s_"
3 1820 "crea_s_"
9 1821 "crea_s_"
16 1822 "crea_s_"
8 1823 "crea_s_"
6 1824 "crea_s_"
5 1825 "crea_s_"
8 1826 "crea_s_"
3 1827 "crea_s_"
10 1828 "crea_s_"
10 1829 "crea_s_"
11 1830 "crea_s_"
13 1831 "crea_s_"
15 1832 "crea_s_"
9 1833 "crea_s_"
24 1834 "crea_s_"
6 1835 "crea_s_"
7 1836 "crea_s_"
5 1837 "crea_s_"
14 1838 "crea_s_"
13 1839 "crea_s_"
5 1840 "crea_s_"
8 1841 "crea_s_"
9 1842 "crea_s_"
12 1843 "crea_s_"
14 1844 "crea_s_"
12 1845 "crea_s_"
7 1846 "crea_s_"
30 1847 "crea_s_"
13 1848 "crea_s_"
16 1849 "crea_s_"
15 1850 "crea_s_"
13 1851 "crea_s_"
22 1852 "crea_s_"
22 1853 "crea_s_"
18 1854 "crea_s_"
33 1855 "crea_s_"
25 1856 "crea_s_"
24 1857 "crea_s_"
34 1858 "crea_s_"
36 1859 "crea_s_"
27 1860 "crea_s_"
18 1861 "crea_s_"
24 1862 "crea_s_"
22 1863 "crea_s_"
18 1864 "crea_s_"
15 1865 "crea_s_"
24 1866 "crea_s_"
28 1867 "crea_s_"
18 1868 "crea_s_"
36 1869 "crea_s_"
20 1870 "crea_s_"
23 1871 "crea_s_"
26 1872 "crea_s_"
14 1873 "crea_s_"
22 1874 "crea_s_"
23 1875 "crea_s_"
20 1876 "crea_s_"
21 1877 "crea_s_"
25 1878 "crea_s_"
29 1879 "crea_s_"
27 1880 "crea_s_"
19 1881 "crea_s_"
38 1882 "crea_s_"
26 1883 "crea_s_"
27 1884 "crea_s_"
22 1885 "crea_s_"
27 1886 "crea_s_"
35 1887 "crea_s_"
30 1888 "crea_s_"
37 1889 "crea_s_"
24 1890 "crea_s_"
21 1891 "crea_s_"
29 1892 "crea_s_"
26 1893 "crea_s_"
19 1894 "crea_s_"
182 1895 "crea_s_"
103 1896 "crea_s_"
96 1897 "crea_s_"
80 1898 "crea_s_"
103 1899 "crea_s_"
23 1900 "crea_s_"
37 1901 "crea_s_"
25 1902 "crea_s_"
11 1903 "crea_s_"
43 1904 "crea_s_"
31 1905 "crea_s_"
21 1906 "crea_s_"
24 1907 "crea_s_"
19 1908 "crea_s_"
23 1909 "crea_s_"
29 1910 "crea_s_"
52 1911 "crea_s_"
48 1912 "crea_s_"
35 1913 "crea_s_"
46 1914 "crea_s_"
