"years" "variable" "value"
"1815" "prod_s_" 14
"1816" "prod_s_" 37
"1817" "prod_s_" 14
"1818" "prod_s_" 15
"1819" "prod_s_" 26
"1820" "prod_s_" 12
"1821" "prod_s_" 22
"1822" "prod_s_" 34
"1823" "prod_s_" 31
"1824" "prod_s_" 28
"1825" "prod_s_" 23
"1826" "prod_s_" 29
"1827" "prod_s_" 24
"1828" "prod_s_" 25
"1829" "prod_s_" 28
"1830" "prod_s_" 34
"1831" "prod_s_" 37
"1832" "prod_s_" 51
"1833" "prod_s_" 41
"1834" "prod_s_" 52
"1835" "prod_s_" 44
"1836" "prod_s_" 45
"1837" "prod_s_" 35
"1838" "prod_s_" 53
"1839" "prod_s_" 47
"1840" "prod_s_" 34
"1841" "prod_s_" 50
"1842" "prod_s_" 45
"1843" "prod_s_" 53
"1844" "prod_s_" 57
"1845" "prod_s_" 57
"1846" "prod_s_" 46
"1847" "prod_s_" 94
"1848" "prod_s_" 65
"1849" "prod_s_" 60
"1850" "prod_s_" 65
"1851" "prod_s_" 71
"1852" "prod_s_" 89
"1853" "prod_s_" 94
"1854" "prod_s_" 83
"1855" "prod_s_" 109
"1856" "prod_s_" 119
"1857" "prod_s_" 125
"1858" "prod_s_" 145
"1859" "prod_s_" 146
"1860" "prod_s_" 121
"1861" "prod_s_" 112
"1862" "prod_s_" 130
"1863" "prod_s_" 126
"1864" "prod_s_" 116
"1865" "prod_s_" 137
"1866" "prod_s_" 142
"1867" "prod_s_" 172
"1868" "prod_s_" 142
"1869" "prod_s_" 174
"1870" "prod_s_" 112
"1871" "prod_s_" 121
"1872" "prod_s_" 128
"1873" "prod_s_" 106
"1874" "prod_s_" 107
"1875" "prod_s_" 124
"1876" "prod_s_" 115
"1877" "prod_s_" 133
"1878" "prod_s_" 135
"1879" "prod_s_" 155
"1880" "prod_s_" 135
"1881" "prod_s_" 131
"1882" "prod_s_" 171
"1883" "prod_s_" 169
"1884" "prod_s_" 147
"1885" "prod_s_" 134
"1886" "prod_s_" 123
"1887" "prod_s_" 165
"1888" "prod_s_" 173
"1889" "prod_s_" 194
"1890" "prod_s_" 186
"1891" "prod_s_" 181
"1892" "prod_s_" 188
"1893" "prod_s_" 205
"1894" "prod_s_" 152
"1895" "prod_s_" 427
"1896" "prod_s_" 318
"1897" "prod_s_" 302
"1898" "prod_s_" 303
"1899" "prod_s_" 313
"1900" "prod_s_" 185
"1901" "prod_s_" 208
"1902" "prod_s_" 177
"1903" "prod_s_" 159
"1904" "prod_s_" 222
"1905" "prod_s_" 200
"1906" "prod_s_" 169
"1907" "prod_s_" 175
"1908" "prod_s_" 190
"1909" "prod_s_" 196
"1910" "prod_s_" 218
"1911" "prod_s_" 261
"1912" "prod_s_" 275
"1913" "prod_s_" 238
"1914" "prod_s_" 267
